data,sentiment,sentiment_self_training
free fire ayo collab boboiboy min plisss collab sama boboiboy,netral,netral
gamenya banyak bug kalo aku main musuh pro temen bot trus pas aku mau naik pangkat malah season,negatif,negatif
kangen ff yang dulu tambahin player baru lagi dong yang murcet,netral,netral
aku suka sekali,positif,positif
terima kasih garena telah mengembalikan glider di ff saya akan comeback,netral,netral
game nya seru pokoknya seru deh aku kasih bintang buat garena,positif,positif
hilangkan bug terutama bug damage,negatif,negatif
garena ngebak mulu dan makin jelek pbalap bacot halo bot,negatif,negatif
keren bgt apalagi jaringan nya tambah ngeleg wow bgtsampe ngasih bintang satu aja gak ikhlas,negatif,negatif
seru,positif,positif
gem jelek sya tidak bisa main cs ranked,negatif,negatif
game puki ceuk si kijat mending ngusep,negatif,negatif
login ae susah bet najis game burik,negatif,negatif
game nya baguss tapi aku kecanduan top jirr,positif,positif
ff semakin kesini semakin jlek dan leg leg gak jlas,negatif,negatif
garena kacau hp gw kaga bisa download,negatif,negatif
bagus,positif,positif
game burik bit gak guna pula,negatif,negatif
gemburik,negatif,negatif
kenapa pas mau login ngestuck di loadinh screen mulu ya padahal wifi lancar tapi kok ngga bisa login,negatif,negatif
game nya seru bgt tapi bagi dm lah,positif,positif
jelek bikin sakit mata,negatif,negatif
geme burik bit bikin sakit mata,negatif,negatif
karna ff sangat bagus,positif,positif
gem nya pata pata,negatif,negatif
ayo ramaikan ff bentar lagi puasa gw juga baru comback,netral,netral
game sangat buruk skils carakter anehbanyak cheater gldan grafik game yang bikij sakit mata,negatif,negatif
game rusak gak bisa main,negatif,negatif
tidak ada ulasan,netral,netral
grafiknya aduh,negatif,negatif
mantap ff,positif,positif
sinyalnya tolong diperbaiki dan bug mic nya juga kesel juga lama,negatif,negatif
game banyak cheater nya,negatif,negatif
ko gabisa buat login platform mulu padahal udh lama ga main tolong di benerin ya min,negatif,negatif
game tai,negatif,negatif
seruu,positif,positif
game gak ngotak musuh bot damagenya gak logis game rusak dari dulu main gak kyk gini,negatif,negatif
game burik,negatif,negatif
game sejuta umat dgn peminat terbanyak,netral,netral
ooi bagi lah kami bundle gratis,netral,netral
ff Hama banyak citer ga di ban tolol,negatif,negatif
grafik game burik,negatif,negatif
tidak ada ulasan,netral,netral
seruuu,positif,positif
grafik nya agak jelek,negatif,negatif
main ff seru macam main tempat perperangan yang nyata,positif,positif
abis update mkin jlek,negatif,negatif
love youu epep,positif,positif
game sampah,negatif,negatif
gimana ini game eror terus ga bisa nyambung ke serper gw kasih bintang biar di liat sama yang punya game,negatif,negatif
Kenapa gem ini setiap ingin login eror terus padahal jaringgannya bagus,negatif,negatif
singkat padatburik,negatif,negatif
game burik isinya bocahbocah tolol yang suka nyenggol sanasini udah kayak gamenya sempurna aja,negatif,negatif
game di dunia,netral,positif
banyak orang yang main,netral,negatif
lumayan tapi jaringanya mulu,netral,netral
login ae susah bet najis game burik,negatif,negatif
wow glinder akhirnya kembali lagi tapi era nya gabisa dikembaliin lagi,netral,netral
seru banget kalau bisa lawannya bot ya,positif,positif
gem jelek sya tidak bisa main cs ranked,negatif,negatif
tidak ada ulasan,netral,netral
game nya bagus banget,positif,positif
burik bit gaada pintu gk berkembang,negatif,negatif
grafik game burik,negatif,negatif
jagotoo,netral,netral
miskin jaringan lag gjls padahal masih di lobby emng game miskin,negatif,negatif
ff selalu di hati wkkw,netral,netral
tolong lah bug data di perbarui aku udah x data ilangsendiri,negatif,negatif
maksih garena,netral,netral
gamenya sangat bagus,positif,positif
kecewa berat aku sama free fire mengapa kecewa karna di setiap permainan tidak adil jadi gini masa yang make cheat di biarin yang murni selalu di bl entah kenapa aku ga tau selalu ke bl terus lagi mengapa pas saya login membaca info game mulu ini hal di ff yang aku tidak suka aslinya saya senang bermain free fire namun ada saja hal yang mengecewakan nah itu jadi tolong di perbaiki,negatif,negatif
p info mabar,netral,netral
pliss garena kalo lagi spin di kasih hoki ngapa,netral,netral
makin update makin susah makin jelek padahal udh bagus tapi malah update nya bikin jelek,negatif,negatif
sangat seru,positif,positif
ayal sisen sangat bagus,positif,positif
ff anj ngak dapet apap game menghabiskan uang game burik game nya agak laen masa glowal nya sudah ketaro tapi tetep mati ga jelas mohon jangan download,negatif,negatif
mantap,positif,positif
memang ini rame tapi aku mau di kasih diamon,netral,netral
wowwwwwwwww,positif,positif
tetap aja jelek,negatif,negatif
pasang akun susah burik amt geme ini akun ku hilang top up udah banyak pake tabungan jangan di donglot akun bisa hilang,negatif,negatif
kebanyakan di update jdi ga enak game play nya,negatif,negatif
mau kenak berek akun sultan,netral,netral
kerjaan staf garena ngapain aja sih cheater ribuan pengguna bahkan mereka make akun utama seyakin itu mereka kalau pendeteksi pergerakan abnormal di freefire tuh gak berfungsi lagi jaringan dari dulu sampai sekarang gak pernah di benahi terutama lagi player yang maksa grafis kanan hadehh grafis rendah semua efeck hilang grafis tinggi lag crash diem aja gitu para staf garena gak berani bertindak,negatif,negatif
scroll tiktok lancar nonton youtube lancar buat login epep sinyalnya lo gajelas semkin lama epep hanya mentingin cuan doang gak mentingin playernya yang main cheat di game di biarin sedangkan afk honor scor di turunin yang ngechet di biarin game aneh gjlas,negatif,negatif
ini game seru sekali,positif,positif
ok,positif,positif
game tolol jelas jelas udah download data pas login ulang semua nya ilang tolol merugikan banget jadi game,negatif,negatif
game yang asik seru dan bisa dapat banyak teman,positif,positif
Gem ga jelas gua maen lama kir juga tapi tetep mines rengked tolong benr rin ini gimana udah 2 kali saya gini main lama juga sama kin tapi tetep mines hadeh,negatif,negatif
seru,positif,positif
tidak ada ulasan,netral,netral
ff hama banyak citer ga di ban tolol,negatif,negatif
kirim aku sg evo garena,netral,netral
bagus mintapi tolong adakan lagi fitur lepas petnya terimakasih,positif,positif
min lu kenapa kasih gw musuh grandmaster semua cape min capeee gua ngepush kalah terus frustrasi setres gw padahal gw masih elite heroic whyy min whyyyy kamu kira saya penjoki enggak min kalo masih gini aja gua mau pensi,negatif,negatif
welcome to free fire,netral,netral
game ini sangat tidak ramah karena saya bermain game ini masuk global malah di kick memang bab tolong juga playernya banyak toxic masa gw masuk global dikata in yatim tolong garena,negatif,negatif
freefire sekarang sering ga bisa masuk ga bisa loading parah ni game,negatif,negatif
gacor,positif,positif
ok,positif,positif
seru mainnya,positif,positif
aku sangat suka banget sama ff aku minta diamon,positif,positif
game buriq,negatif,negatif
gem to lol gada akhlak pemain nya fun take,negatif,negatif
dapet temen gak jelas semua,negatif,negatif
boleh lah pokok nya five star,positif,positif
game keren,positif,positif
gatena ff,netral,netral
bgus di main kn,positif,positif
game lawak loading stuck pas abis logo garena fix lah,negatif,negatif
karena apa gw push terus tmn tim ku sllu dark sistem coba deh kasih aku tmn yg top indonesia,negatif,negatif
game burik,negatif,negatif
mohon maf map nya aga di ganti lah q,netral,netral
game seru event nya juga bagus bagus jaringan nya g kurangsama kawan tim pas main agam dikasih yg jago gitu musuh nya terus bot,positif,positif
main cs renked tim nya banyak yang beban,negatif,negatif
gemnya banyak citer,negatif,negatif
seruuuuuu,positif,positif
game apa ini banyak yang pake cheat,negatif,negatif
saya kasih bintang karena game nya sangat seru,positif,positif
game aneh,negatif,negatif
game terbaik di dunia,positif,positif
jangan lagi di ben akun ku aku gak pake cit min,negatif,negatif
tidak ada ulasan,netral,netral
game nya keren sih tapi ngelag,positif,positif
kenapa mau login kok eror aplikasi ini sudah gak becus,negatif,negatif
lama kali min donwlodnya,negatif,negatif
sangat bagus dan sudah menemani masa remaja ku,positif,positif
game nya gak seseru dulu pensi aja lah,negatif,negatif
game sangat buruk skils carakter anehbanyak cheater gldan grafik game yang bikij sakit mata,negatif,negatif
bagus,positif,positif
game jelek masa grafik aku turun dari ultra sampe ke smooth,negatif,negatif
gem jelek sekin jelek semua mantesan poroplayer ff pindah ke blosterek ternyata gem ff jelek anjir,negatif,negatif
pokoknya game ini seruuuuuu,positif,positif
fire fire sangat bagus dan juga bisa bermain bersama instal sekarang di flas tor ayo cepetan,positif,positif
jaringan selalu bermasalah,negatif,negatif
suka ngeleg,negatif,negatif
seruu,positif,positif
jgn sering update memo ku tidaa cukufff,negatif,negatif
game nya burik dan game bit buruk banget,negatif,negatif
suka gamenya sama eventeventnya makasih garena sama timtimnya event dan gamenya seru,positif,positif
game tolol maen game menang cuma sekali,negatif,negatif
game ini bagus saya suka walupun gak ada pintu,,positif
game nya bagus banget,,positif
tidak ada ulasan,,netral
game nya seru sekali,,positif
game ini seru tapi pas main cs lawan nya jago semua dan tim aku ngetroll juga tolong diperbaiki garena kasih lawan yang sepadan dong jangan kasih yg jago dan yg aku ngetroll tolong dibaca pesan ini garena,,positif
bagus,,positif
sering ketemu tapi bot di cs tapi musuh nya pro,,negatif
tidak ada ulasan,,netral
semoga saya dapat diamond ff saya kasih bintang,,positif
game yang sang at menarik says sang at suka,,positif
saya pensiun dulu,,negatif
baik,,negatif
game ini bagus,,positif
ini game seru kali,,positif
so bagus tpi yg salah dia p jaringan jaringan bagus tpi ta main tu model deng jaringan dia mera kuning padahal tp tamanp jaringan bagus yg salah di yg apdet kaseh baedia jaringan dulu,,positif
ff terbaik,,positif
aku suka geme ini,,positif
free fire enk di mainkan ko yng gk bisa di mainkan itu hp ny gk tahan,,negatif
baik,,negatif
bagus tapi jaringan sering ngelek,,positif
mantap banget,,positif
bagus bangt,,positif
seru banget,,positif
seru apa lagi pas bulan puasa,,positif
seru nian bisa mabar sama teman dan ada bandelnya juga bagus nian bisa bewan,,positif
permainan yang amatt kulll,,negatif
bagus,,positif
menurut saya game ini serutapi ada kendala tolong perbaiki bug bug yangg ada di gametruss grafik nya juga di tingkat kan supaya ga burik lagi,,negatif
bagus bett buset,,positif
bagus game nya walaupun game bite banyak skin bagus,,positif
game nya bagus,,positif
seru,,positif
tidak ada ulasan,,netral
seruuuuuu,,positif
seru banget,,positif
karena game ini tidak mancing emosi kita jadi seru mainnya gak tokxix,,positif
seru perminanya kalo ada step pasti ada getaran jadinya semakin hapal kalo ada step grafiknya juga bagus tapi bag bag nya ya mimin apus plis,,positif
bagus,,positif
sangat seru,,positif
ini game saya dari kecil dari pas saya umur thn dan sekarang baru bangun tidur panjang hbd for me utk tgl desember,,positif
emot dua jt bang,,negatif
game yg sangat menarik,,positif
aku sangat senang dan semangat,,positif
seru banget,,positif
burik,,negatif
mantapp,,negatif
game ape ni wok woww kerenn,,negatif
geme ya seru banget aku rispek,,positif
makin bagus banget aku jadi suka,,positif
gem nya bagus hd dan menyenangkan jangan lupa sholat kalo ngegem salam epepp,,positif
terimakasih ya bang garena,,netral
bagus,,positif
seru banget,,positif
game nya bagus,,positif
setiap main padahal sinyal udah lancar masih aja ngelek dan di kasih tim yang bot dan ngettrol dah malas aku main free fire bannyak yang ngetrol mending main ml dari pada game burik in,,negatif
tolong kembalikan diamond ku yang udah top up nama akunnailaiatolong di perhatikan lagi,,negatif
sangat seru,,positif
kembalikan cs elit kami,,negatif
karna saya tidak kesepian,,positif
gamenya seru tapi banyak bug jaringan suka leg di laporkan malah tambah parah yaudah sekarang saya main ml gk main epep lagi akun juga dah ke jual gk seru ff sekarang bosan game burik,,negatif
makasi garena fere fire,,netral
game pelit buang buang duit ff sangat pelit hapus aja ah ff spinnan ff burik burik burik,,negatif
tolong buat garena ff max tolomg banget knpa saya selalu bug data selalu hilang data baju nya tiap hari sekali selalu buat kuota habis padahal udah download semua tau,,negatif
aku suka main ff,,positif
seruuu bingitttt,,positif
gua comebackkasih gua hoki dong garena,,negatif
mantap,,positif
apk y jadi burem gelap gak bisa main tolong di perbaiki sudah x download tetap aja gelap hpus lagi,,negatif
mantap,,positif
game na ngenahen,,negatif
bagus,,positif
kapan rilis free fire x boboiboy,,netral
mulai comeback uhuyyyy,,negatif
aku suka main nya,,positif
game nya seru banget,,positif
ok,,positif
game yang sangat bagus,,positif
game nya seruuuu bangeeet,,positif
bagus geme nya,,positif
baik,,negatif
bagus lebih bagus dari pada mlpubgminecraft kerja bagus,,positif
tolong bikin aimlock,,negatif
sangat bagus game nya cara,,positif
gemya bagus banget,,positif
game bagus banget ff mantap,,positif
mantap garena bikin ff yang bagus,,positif
uda nga aman game ini banyak ceatternya,,negatif
sangat seruuuu,,positif
kerenn cokk aku main ff dari,,positif
minta peak old kembali,,netral
bagus,,positif
baikk,,negatif
terimakasih sudah menamai aku dari tahun,,positif
permain bgus pembagian tim gj bug gemeg mluh dri dulu,,negatif
mohon maaf buat ff max atau ff biyasa update nyah jangan terlalu sering makasih,,negatif
sangat baik,,positif
sukaaa bangett samaaa epepp tapii sukaa sedii kaloo turunn seasonnn,,positif
game nya seru apa lagi mabar sama tementapi semakin lama semakin susah game nya,,negatif
bagus ja,,positif
timnya bot mulu,,negatif
mantevppppppp,,negatif
hanya saja sering kali update,,negatif
minta puncak diamond ff,,positif
ssangat bagus dan keren,,positif
permainan sang at keren semoga akun aku hoki oleh pembuat ff amin,,positif
goood,,negatif
ff memang seru,,positif
pelis garena urus lagi citerna,,netral
korban akun guest,,negatif
tolong pig yang dulu dikembalikan,,negatif
gem ini bagus sekali wqlau pun ga ada pintu tapi banyak peminat na jadi suka mainngemnini karena seru lalian harus coba,,positif
senang gembira aku harap bisa masuk evos,,negatif
aku udh kangen bgtttttt main ff karena aku pensi dan udh comeback dan selamat datang lagi di ff,,positif
gem ya keren bangettt sampay kecanduan gua wkwkkw,,positif
game ya enak gak e bosanin,,negatif
bagus banget gem nya aku jadi lebih jago mainnya dan kontrol nya gampang dan juga,,positif
meyenakan,,negatif
sangat seru,,positif
bagus,,positif
game free fire sangat bagus udh map nya bagus banget apalagi ada tempat by one terimakasih ff engkau lah yng temenin aku lagi main makaci ff,,positif
game kesukaan kuuuuu,,negatif
bagus dan aku suka hoki terus,,positif
sangat lah bagus,,positif
amazing,,negatif
bagus aja sii,,positif
gw suka bet jir ji game buat ngilangin rasa kesepian gw hehehev,,negatif
seru banget jangan lu a dowlod,,positif
game nya enak tapi pas aku gaca gaca pake diamond gk pernah hoki,,negatif
sangat baik,,positif
baik,,negatif
gabikin bosenn,,negatif
burik,,negatif
geme menyerukan,,positif
tolong lebih di perbaiki setelah update berkalikali kok loh yah makin parah sieh kadang tb pdhl jaringan ku loh ya bagus trs jg sering nge freeze kalo ada musuh giliran gada musuh lah gak nge freeze trs sering jg nge bug damage pdhl pas update udh bagus tampilannya dll udh bagus bgt tpi kok mlh sering nge bug dan nge freeze tolong lebih di perbaiki lagi,,negatif
lumayan seru,,positif
sangat rame,,positif
sangat bagus,,positif
coba comeback lagi,,netral
keren banget,,positif
lumayan,,positif
bagus,,positif
bagus,,positif
mantap,,positif
keren,,positif
game ke suka an gw walaupun bnyak yg ngeselin its ok,,positif
bagus,,positif
saya adalah player old dan saya install ulang dan ternyata ff sudah banyak berubah tapi sayangnya skil saya belum pulih karena sudah lama pensi bermain ff,,positif
sangt lah menyenangkan kan,,positif
tidak ada ulasan,,netral
sangat seru dan menghibur,,positif
seru game nya bisa tembak tembakan dan ga toxic,,positif
game seru dan penghiburan,,positif
tolong di per baikin lagi garenakamu gk adil masa adikku yang baru main langsung dapat pemain pro padahal dia masih gold lho udah itu update yang makin jelekbuat hp main kayak pubgngeleg parahmoga di perbaiki lagi salam buriq,,negatif
seru plcc epep selalu di hatilop u sekebonnn,,positif
seruuu,,positif
ini sangat bagus,,positif
pri payer mek makin hade,,negatif
sangat bagus dan tolol,,positif
game bocil ingusan burik bit,,negatif
nyesel udah sopor game ff player di bend tapa keteranganbuk dimana internet tiba tiba lemot padahal keceng internet nyapantes rata player nya pada pindah gamemakin lama makin sepi lah nih game kesel gw,,negatif
seru,,positif
game nya ngeggek sekali,,positif
geme ini bagus mohon garena aku mau dua juta lagi mohon,,positif
jaringan nya kurang stabil sering padahal jaringan gw bagus main ml juga bagus tapi d ff merah,,positif
gamenya bagus tapi aku sudah kehilangan akun kali dan ini yang terakhirnya aku download free fire,,positif
saya sangat suka,,positif
game oke tapi baju yg gw punya ilang bukti nya baju otot emas itu ilang aja jirr lapor,,negatif
game nya seru banget,,positif
game nya bagus tapi banyak juga bug yang bikin player tidak nyaman untuk main,,positif
sangat bagus,,positif
mimin booyah,,positif
bagus banget gamenya tapi tolong banget bug nya,,positif
mantap,,positif
game ini memiliki grafik yang sangat bagus,,positif
sangat bagus,,positif
ferifayer anak seru dan,,positif
sangat seru,,positif
seruuuu,,positif
tidak ada mab baru,,netral
ngelegngebug,,negatif
bagus sekali,,positif
asik bgt wokk,,positif
gem tolol sm sperti garenanya,,negatif
seru banget,,positif
jelek geme ya kalah terus ketumu tim gak bisa turus garena gak kasih manang dasar garena jangan di download ya wkwkwkkwkw garena iri denke masa aku sudah naik bayak malah pas aku main lagi garena kasih kalah dan turun bayak apalah garena geme kok burit mending aku main ml aja garena ke sumpahi,,negatif
game nya bagus banget udh nemenin aku dari kecil sampai sekarang tapi kok pas aku download game ff max pas sg nya nembak suaranya tetap sama kayak ff biasa tolong di perbaiki garena jangan event terus,,positif
garna palis yang suka ngehek akun urang diben palis,,positif
untuk pertandingan cs knpa banyak sekali chitnya dan ada apa dengan fitur band tolong di tanggapi segera untuk pertandingan cs ranked plis nanti mau season masakk masi berkeliaran itu chitnya trimakasih,,negatif
anjay,,negatif
garena aku gak bisa main ini padahal akun ku padahal akun ku pro garena harus tanggung jawab,,negatif
bagus,,positif
bagussss,,positif
game nya seru,,positif
aku bertemu teman lama,,negatif
kenapa akun saya yang udah besar tiba jadii bot,,negatif
bagus,,positif
terimakasih garena karna game ini aku selalu emosi dan menahan amarahku untuk melatih kesabaranku,,positif
sangat bagus,,positif
suka bgt sma free fire smaa permaenannya seru bgt semoga sukses trus free fire,,positif
gamenya seru,,positif
seru,,positif
karena saya bisa terhibur bermain ini,,positif
cinta ff,,positif
kasih aku banble min,,negatif
gemnya seru dan banyak hal yang seru,,positif
gem ini terbaik sepanjang masa,,negatif
seru banget ff nya,,positif
gems plgiat,,negatif
gem sangat bagus bisa baiwan bisa minta giv alok,,positif
pelit banget garena kasi spinan ke gw ga dapet dapet,,negatif
permainan ini sangat seru tapi balikin akun saya yg diban plis,,positif
saya suka ff,,positif
permainan nya bagus dan sedikit ada yang kurang dan burik dikit perbaiki buk dan para ngecit nya garena tolong teman saya bisa login tapi saya tidak ada bacaan error nya garena tolong ini mah namanya pangaje nih nama akun aku ya tolong pisan sayah,,positif
jangan terlalu menciptakan skin senjata yang berlebihan,,negatif
karenah ff nyah ngasih boyah pass dengan harga murah,,positif
keren,,positif
game banyak bug seperti udah pakai crono masih bisa ditembak lol,,negatif
bagus bisa mabar seruuu tp loginnya lma,,positif
bgussi tpi di kurangi bug ny,,negatif
aku suka,,positif
gw uninstal lagi karna hyperbook nya gadijual harus sepin,,positif
gameini sangat mantap apa lgi kalau garena kasi biru biru tiba ehh lebih mantap,,positif
game nya terbaik,,positif
game nya seru,,positif
bagus banget ya kak,,positif
bagus banget,,positif
karena game ini bagus dan keren,,positif
game ini sangat baguss tapi tolong hilangkan sedikit bug dalam game ini,,positif
lumayan,,positif
bagus,,positif
sangat asik bermain game ini,,positif
king,,negatif
seru,,positif
ini bagus tetapi jaringan nya perbaiki karna jaringan kita penuh tapi masih ngelek perbaiki ya,,positif
sangat bagus,,positif
seru bngtttt,,positif
game yang sangat bagus,,positif
baguss,,positif
ff di hati,,netral
apdaet bagus skkin bagus,,positif
mainan ini sangat seru,,positif
game sangat seru,,positif
ff sangat bagus,,positif
game nya bagus tapi aku sering melihat orang pakai chet tolong chat di game ini di hapus,,positif
jangan terlalu banyak ngeleg sinyalnya ya,,negatif
jelek,,negatif
game bagus,,positif
buat yang ff nya rusak tapi di saya gakk tuh,,positif
ini bagus sekaliidnv,,positif
tolong benerin lagi ni game garena bnyak cit,,negatif
bagus,,positif
gem burik,,negatif
enak,,negatif
beh makasih mimin garena bandel nya,,positif
bagus,,positif
garena akun ff aku di band tolong jangan kembali ke punya akun ma akun,,netral
game mantap budi yg rame in ini game,,positif
aneh banget masa tahun akun gw g di loginin dari tahun msa ilang si g bisa kembali kek akun yg masa akun baru aneh ni epep,,negatif
mantap,,positif
sangat menarik dan seru,,positif
ff lebih baik di mainkan karena seru,,positif
benerin bug skin musuh dong min masa udah donlod data semua gak bisa lihat skin musu benerin min,,negatif
bagus cuy,,positif
ff keren,,positif
banyak bocil terus bikin emosi ngomong kasar main beban mau di laporan tapi gk ada laporan yg bener kalo bisa bikin tempat buat kasih keluhan player,,negatif
gemnya bagus tapi kadang kadang suka dikasih musuh yang pro terus pas mau heroik malah seson itu yang bikin saya kesal dan bandel kucing nya juga bagus kok,,positif
sangat menghibur,,positif
game ini sangat seru,,positif
adain dm gratis,,positif
sangat memuaskan,,positif
tolong di perbaikigw udah download semua data pasti besoknya ga ke download lagi berkurang berkurang berkurang setiap harikuota gw abis cuman gara download data rugii lah apa ini di sengaja biar dapet cuan tambahan,,negatif
game ini sangat seru,,positif
banyakin gratis diamon dong,,positif
bagus betul aku dah nyampe heroic satu tapi dak papa walau sering kalah tapi aku tetep semangat main epep tapi tolong garena buat kembalikan aku epep saya yang tahun,,positif
seru,,positif
anjai alok wkwkwkwk,,negatif
game nya sangat baik dan tolong perbaiki bag yang ada,,positif
dari tahun main mau coba camback,,negatif
mantapj,,negatif
gamenya sangat bagus,,positif
game sangat bagus,,positif
main nya seru banget walaupun sinyal kadang buat ngelek tapi main ny tetap seru,,positif
seruu bangettt aku sampai punya akundalam satu hari man bagus baguss dan tolong ya peak old kembalikan di br ranked dan battle royal jangan di craftland,,positif
map ya bagus terang,,positif
karna bagus,,positif
mantap,,positif
bagus bangettt,,positif
geam nya sangat seru,,positif
gemnya bagus,,positif
game game free fire yang bagus kalian harus download game free fire tolong perbaiki ruang biar bisa main,,positif
