userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed
Pur Nomo,5,2025-10-05 06:50:23,saya rasa sih game ini cukup bagus dan tidak ngelag sinyal pun bagus update x ini free fire juga sangat seru tapi di cs agak ngelag kalau pakai senjata SG ngmong ngmong kenapa ya Garena?,saya rasa sih game ini cukup bagus dan tidak ngelag sinyal pun bagus update x ini free fire juga sangat seru tapi di cs agak ngelag kalau pakai senjata sg ngmong ngmong kenapa ya garena?,saya rasa sih game ini cukup bagus dan tidak ngelag sinyal pun bagus update x ini free fire juga sangat seru tapi di cs agak ngelag kalau pakai senjata sg ngmong ngmong kenapa ya garena,"['saya', 'rasa', 'sih', 'game', 'ini', 'cukup', 'bagus', 'dan', 'tidak', 'ngelag', 'sinyal', 'pun', 'bagus', 'update', 'x', 'ini', 'free', 'fire', 'juga', 'sangat', 'seru', 'tapi', 'di', 'cs', 'agak', 'ngelag', 'kalau', 'pakai', 'senjata', 'sg', 'ngmong', 'ngmong', 'kenapa', 'ya', 'garena']","['rasa', 'sih', 'game', 'cukup', 'bagus', 'ngelag', 'sinyal', 'bagus', 'update', 'x', 'free', 'fire', 'sangat', 'seru', 'cs', 'ngelag', 'kalau', 'pakai', 'senjata', 'sg', 'ngmong', 'ngmong', 'garena']","['rasa', 'sih', 'game', 'cukup', 'bagus', 'ngelag', 'sinyal', 'bagus', 'update', 'x', 'free', 'fire', 'sangat', 'seru', 'cs', 'ngelag', 'kalau', 'pakai', 'senjata', 'sg', 'ngmong', 'ngmong', 'garena']",rasa sih game cukup bagus ngelag sinyal bagus update x free fire sangat seru cs ngelag kalau pakai senjata sg ngmong ngmong garena
Andi Nur,3,2025-10-05 06:47:06,bagus banget menyenang kan pkok nya no komen,bagus banget menyenang kan pkok nya no komen,bagus banget menyenang kan pkok nya no komen,"['bagus', 'banget', 'menyenang', 'kan', 'pkok', 'nya', 'no', 'komen']","['bagus', 'banget', 'menyenang', 'kan', 'pkok', 'nya', 'no', 'komen']","['bagus', 'banget', 'senang', 'kan', 'pkok', 'nya', 'no', 'komen']",bagus banget senang kan pkok nya no komen
Jhefri Hairul,5,2025-10-05 06:46:25,game ini seru,game ini seru,game ini seru,"['game', 'ini', 'seru']","['game', 'seru']","['game', 'seru']",game seru
Dimas guntur Atmojo,2,2025-10-05 06:43:34,kok ada citer di cs gua jadi males pus cs tolong yang citer ya dibeent kalik,kok ada citer di cs gua jadi males pus cs tolong yang citer ya dibeent kalik,kok ada citer di cs gua jadi males pus cs tolong yang citer ya dibeent kalik,"['kok', 'ada', 'citer', 'di', 'cs', 'gua', 'jadi', 'males', 'pus', 'cs', 'tolong', 'yang', 'citer', 'ya', 'dibeent', 'kalik']","['kok', 'citer', 'cs', 'gua', 'jadi', 'males', 'pus', 'cs', 'citer', 'dibeent', 'kalik']","['kok', 'citer', 'cs', 'gua', 'jadi', 'males', 'pus', 'cs', 'citer', 'dibeent', 'kalik']",kok citer cs gua jadi males pus cs citer dibeent kalik
Fauzi Fauzi,5,2025-10-05 06:42:38,ok,ok,ok,['ok'],[],[],
Muhammad Haitsam Nabhan,5,2025-10-05 06:39:50,saya senang bermain game free fire,saya senang bermain game free fire,saya senang bermain game free fire,"['saya', 'senang', 'bermain', 'game', 'free', 'fire']","['senang', 'bermain', 'game', 'free', 'fire']","['senang', 'main', 'game', 'free', 'fire']",senang main game free fire
Putra harahap,5,2025-10-05 06:39:08,gacor,gacor,gacor,['gacor'],['gacor'],['gacor'],gacor
Stiven alfredo Ginting,5,2025-10-05 06:34:45,iw,iw,iw,['iw'],['iw'],['iw'],iw
Kellen Alvaro,5,2025-10-05 06:34:21,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
Ayu Pbg,5,2025-10-05 06:32:26,sangat surrr,sangat surrr,sangat surrr,"['sangat', 'surrr']","['sangat', 'surrr']","['sangat', 'surrr']",sangat surrr
Raihan Raihan,3,2025-10-05 06:29:45,gw ngeleh jaringannya bego bukan sengaja kalah,gw ngeleh jaringannya bego bukan sengaja kalah,gw ngeleh jaringannya bego bukan sengaja kalah,"['gw', 'ngeleh', 'jaringannya', 'bego', 'bukan', 'sengaja', 'kalah']","['gw', 'ngeleh', 'jaringannya', 'bego', 'bukan', 'sengaja', 'kalah']","['gw', 'ngeleh', 'jaring', 'bego', 'bukan', 'sengaja', 'kalah']",gw ngeleh jaring bego bukan sengaja kalah
Muhammad Naufal,5,2025-10-05 06:27:12,karena aku cinta ff,karena aku cinta ff,karena aku cinta ff,"['karena', 'aku', 'cinta', 'ff']","['aku', 'cinta', 'ff']","['aku', 'cinta', 'ff']",aku cinta ff
Dahab Bidin,5,2025-10-05 06:24:51,gem ya bagus dan bisa Mabar sama temen,gem ya bagus dan bisa mabar sama temen,gem ya bagus dan bisa mabar sama temen,"['gem', 'ya', 'bagus', 'dan', 'bisa', 'mabar', 'sama', 'temen']","['gem', 'bagus', 'mabar', 'sama', 'temen']","['gem', 'bagus', 'mabar', 'sama', 'temen']",gem bagus mabar sama temen
Yasin Yasin,1,2025-10-05 06:22:52,ini bagus tapi panutan kami gk di bolehin main sama garena kita nilai 1,ini bagus tapi panutan kami gk di bolehin main sama garena kita nilai 1,ini bagus tapi panutan kami gk di bolehin main sama garena kita nilai,"['ini', 'bagus', 'tapi', 'panutan', 'kami', 'gk', 'di', 'bolehin', 'main', 'sama', 'garena', 'kita', 'nilai']","['bagus', 'panutan', 'gk', 'bolehin', 'main', 'sama', 'garena', 'nilai']","['bagus', 'panutan', 'gk', 'bolehin', 'main', 'sama', 'garena', 'nilai']",bagus panutan gk bolehin main sama garena nilai
Kuthax bellen,5,2025-10-05 06:21:43,saya senang menjadi player ff semoga nanti kita bertemu lagi di masa dewasa,saya senang menjadi player ff semoga nanti kita bertemu lagi di masa dewasa,saya senang menjadi player ff semoga nanti kita bertemu lagi di masa dewasa,"['saya', 'senang', 'menjadi', 'player', 'ff', 'semoga', 'nanti', 'kita', 'bertemu', 'lagi', 'di', 'masa', 'dewasa']","['senang', 'menjadi', 'player', 'ff', 'semoga', 'bertemu', 'masa', 'dewasa']","['senang', 'jadi', 'player', 'ff', 'moga', 'temu', 'masa', 'dewasa']",senang jadi player ff moga temu masa dewasa
M. Abdillah Aufa,5,2025-10-05 06:20:13,seru,seru,seru,['seru'],['seru'],['seru'],seru
"RISKI ESECOBAR,",5,2025-10-05 06:17:23,keren banget game nya tapi kalo bisa tambahin pintu wkwkw 🤭,keren banget game nya tapi kalo bisa tambahin pintu wkwkw 🤭,keren banget game nya tapi kalo bisa tambahin pintu wkwkw,"['keren', 'banget', 'game', 'nya', 'tapi', 'kalo', 'bisa', 'tambahin', 'pintu', 'wkwkw']","['keren', 'banget', 'game', 'nya', 'kalo', 'tambahin', 'pintu', 'wkwkw']","['keren', 'banget', 'game', 'nya', 'kalo', 'tambahin', 'pintu', 'wkwkw']",keren banget game nya kalo tambahin pintu wkwkw
Yura Yura,5,2025-10-05 06:15:03,rorw,rorw,rorw,['rorw'],['rorw'],['rorw'],rorw
Mustamik Yusuf,1,2025-10-05 06:10:24,bg Budi salah apaan dh🗿,bg budi salah apaan dh🗿,bg budi salah apaan dh,"['bg', 'budi', 'salah', 'apaan', 'dh']","['bg', 'budi', 'salah', 'apaan', 'dh']","['bg', 'budi', 'salah', 'apa', 'dh']",bg budi salah apa dh
Yasin Yeo,5,2025-10-05 06:10:19,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Rasyid Siddiq S,1,2025-10-05 06:08:41,"banyak bug seperti transaksi yang tidak di inginkan, padahal sudah melaporkan ke customer service masih tidak ada tindakan dan uang saya hilang gitu aja","banyak bug seperti transaksi yang tidak di inginkan, padahal sudah melaporkan ke customer service masih tidak ada tindakan dan uang saya hilang gitu aja",banyak bug seperti transaksi yang tidak di inginkan padahal sudah melaporkan ke customer service masih tidak ada tindakan dan uang saya hilang gitu aja,"['banyak', 'bug', 'seperti', 'transaksi', 'yang', 'tidak', 'di', 'inginkan', 'padahal', 'sudah', 'melaporkan', 'ke', 'customer', 'service', 'masih', 'tidak', 'ada', 'tindakan', 'dan', 'uang', 'saya', 'hilang', 'gitu', 'aja']","['banyak', 'bug', 'transaksi', 'inginkan', 'padahal', 'melaporkan', 'customer', 'service', 'tindakan', 'uang', 'hilang', 'gitu', 'aja']","['banyak', 'bug', 'transaksi', 'ingin', 'padahal', 'lapor', 'customer', 'service', 'tindak', 'uang', 'hilang', 'gitu', 'aja']",banyak bug transaksi ingin padahal lapor customer service tindak uang hilang gitu aja
Whindy Ginaya,5,2025-10-05 06:04:20,"game nya seru banget,bikin gk bosen deh","game nya seru banget,bikin gk bosen deh",game nya seru bangetbikin gk bosen deh,"['game', 'nya', 'seru', 'bangetbikin', 'gk', 'bosen', 'deh']","['game', 'nya', 'seru', 'bangetbikin', 'gk', 'bosen', 'deh']","['game', 'nya', 'seru', 'bangetbikin', 'gk', 'bosen', 'deh']",game nya seru bangetbikin gk bosen deh
Arju Dibu bayhaqi,3,2025-10-05 06:03:29,"Min tolong untuk yang main di pc,matcmakingnya diperbaiki,soalnya lama banget","min tolong untuk yang main di pc,matcmakingnya diperbaiki,soalnya lama banget",min tolong untuk yang main di pcmatcmakingnya diperbaikisoalnya lama banget,"['min', 'tolong', 'untuk', 'yang', 'main', 'di', 'pcmatcmakingnya', 'diperbaikisoalnya', 'lama', 'banget']","['min', 'main', 'pcmatcmakingnya', 'diperbaikisoalnya', 'lama', 'banget']","['min', 'main', 'pcmatcmakingnya', 'diperbaikisoalnya', 'lama', 'banget']",min main pcmatcmakingnya diperbaikisoalnya lama banget
Bilqis Saribanon,1,2025-10-05 06:02:06,GAME GK GOTAK DIKASIH LOSE STRIKE TERUS BAB1 GARENTOLLLLLLLL CAPEK GW DIKASIH DARK SISTEM BAB1,game gk gotak dikasih lose strike terus bab1 garentollllllll capek gw dikasih dark sistem bab1,game gk gotak dikasih lose strike terus bab garentollllllll capek gw dikasih dark sistem bab,"['game', 'gk', 'gotak', 'dikasih', 'lose', 'strike', 'terus', 'bab', 'garentollllllll', 'capek', 'gw', 'dikasih', 'dark', 'sistem', 'bab']","['game', 'gk', 'gotak', 'dikasih', 'lose', 'strike', 'terus', 'bab', 'garentollllllll', 'capek', 'gw', 'dikasih', 'dark', 'sistem', 'bab']","['game', 'gk', 'gotak', 'kasih', 'lose', 'strike', 'terus', 'bab', 'garentollllllll', 'capek', 'gw', 'kasih', 'dark', 'sistem', 'bab']",game gk gotak kasih lose strike terus bab garentollllllll capek gw kasih dark sistem bab
Gjlnvgnn Vmmk hy .u,1,2025-10-05 06:00:43,Game yg sangat jelek musuhnya sangat sulit,game yg sangat jelek musuhnya sangat sulit,game yg sangat jelek musuhnya sangat sulit,"['game', 'yg', 'sangat', 'jelek', 'musuhnya', 'sangat', 'sulit']","['game', 'yg', 'sangat', 'jelek', 'musuhnya', 'sangat', 'sulit']","['game', 'yg', 'sangat', 'jelek', 'musuh', 'sangat', 'sulit']",game yg sangat jelek musuh sangat sulit
SOTHEP PS,5,2025-10-05 05:57:53,👍👍👍👍👍👍👍👍👍👍👍💀👍👍bagus,👍👍👍👍👍👍👍👍👍👍👍💀👍👍bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Rudi W,3,2025-10-05 05:52:38,we kenapa TDK bisa masuk cuma tertulis starting,we kenapa tdk bisa masuk cuma tertulis starting,we kenapa tdk bisa masuk cuma tertulis starting,"['we', 'kenapa', 'tdk', 'bisa', 'masuk', 'cuma', 'tertulis', 'starting']","['we', 'tdk', 'masuk', 'cuma', 'tertulis', 'starting']","['we', 'tdk', 'masuk', 'cuma', 'tulis', 'starting']",we tdk masuk cuma tulis starting
Salman Alfarisy,5,2025-10-05 05:50:37,mintak skin,mintak skin,mintak skin,"['mintak', 'skin']","['mintak', 'skin']","['mintak', 'skin']",mintak skin
Aufa Fiddin,5,2025-10-05 05:48:37,jossss,jossss,jossss,['jossss'],['jossss'],['jossss'],jossss
Akun Baru 2025,5,2025-10-05 05:44:57,"game kikir,nyepin gak dapet dapet,panutan gua BG BUDI 01 GAMING gak bisa main karena terima endorse dari game sebelah,emangnya kenapa orang juga butuh duit kali,kerja sama aja gak ada sama game burik satu ini malah orang terima endorse gak terima,burik burik","game kikir,nyepin gak dapet dapet,panutan gua bg budi 01 gaming gak bisa main karena terima endorse dari game sebelah,emangnya kenapa orang juga butuh duit kali,kerja sama aja gak ada sama game burik satu ini malah orang terima endorse gak terima,burik burik",game kikirnyepin gak dapet dapetpanutan gua bg budi gaming gak bisa main karena terima endorse dari game sebelahemangnya kenapa orang juga butuh duit kalikerja sama aja gak ada sama game burik satu ini malah orang terima endorse gak terimaburik burik,"['game', 'kikirnyepin', 'gak', 'dapet', 'dapetpanutan', 'gua', 'bg', 'budi', 'gaming', 'gak', 'bisa', 'main', 'karena', 'terima', 'endorse', 'dari', 'game', 'sebelahemangnya', 'kenapa', 'orang', 'juga', 'butuh', 'duit', 'kalikerja', 'sama', 'aja', 'gak', 'ada', 'sama', 'game', 'burik', 'satu', 'ini', 'malah', 'orang', 'terima', 'endorse', 'gak', 'terimaburik', 'burik']","['game', 'kikirnyepin', 'gak', 'dapet', 'dapetpanutan', 'gua', 'bg', 'budi', 'gaming', 'gak', 'main', 'terima', 'endorse', 'game', 'sebelahemangnya', 'orang', 'butuh', 'duit', 'kalikerja', 'sama', 'aja', 'gak', 'sama', 'game', 'burik', 'satu', 'malah', 'orang', 'terima', 'endorse', 'gak', 'terimaburik', 'burik']","['game', 'kikirnyepin', 'gak', 'dapet', 'dapetpanutan', 'gua', 'bg', 'budi', 'gaming', 'gak', 'main', 'terima', 'endorse', 'game', 'sebelahemangnya', 'orang', 'butuh', 'duit', 'kalikerja', 'sama', 'aja', 'gak', 'sama', 'game', 'burik', 'satu', 'malah', 'orang', 'terima', 'endorse', 'gak', 'terimaburik', 'burik']",game kikirnyepin gak dapet dapetpanutan gua bg budi gaming gak main terima endorse game sebelahemangnya orang butuh duit kalikerja sama aja gak sama game burik satu malah orang terima endorse gak terimaburik burik
Kartika Pati,5,2025-10-05 05:44:22,seru Ama pacarr,seru ama pacarr,seru ama pacarr,"['seru', 'ama', 'pacarr']","['seru', 'ama', 'pacarr']","['seru', 'ama', 'pacarr']",seru ama pacarr
King Zoya,5,2025-10-05 05:42:57,kaloramafhan kasih event sg gratisan dongg,kaloramafhan kasih event sg gratisan dongg,kaloramafhan kasih event sg gratisan dongg,"['kaloramafhan', 'kasih', 'event', 'sg', 'gratisan', 'dongg']","['kaloramafhan', 'kasih', 'event', 'sg', 'gratisan', 'dongg']","['kaloramafhan', 'kasih', 'event', 'sg', 'gratis', 'dongg']",kaloramafhan kasih event sg gratis dongg
Ilham Slwly,5,2025-10-05 05:42:24,keren,keren,keren,['keren'],['keren'],['keren'],keren
Wa Wong,1,2025-10-05 05:41:17,ff udah enggak kaya dulu lagi,ff udah enggak kaya dulu lagi,ff udah enggak kaya dulu lagi,"['ff', 'udah', 'enggak', 'kaya', 'dulu', 'lagi']","['ff', 'udah', 'enggak', 'kaya', 'dulu']","['ff', 'udah', 'enggak', 'kaya', 'dulu']",ff udah enggak kaya dulu
Abdul Riziq,5,2025-10-05 05:39:26,seru banget,seru banget,seru banget,"['seru', 'banget']","['seru', 'banget']","['seru', 'banget']",seru banget
Made Angga,5,2025-10-05 05:38:04,tolong gif saya dm garena,tolong gif saya dm garena,tolong gif saya dm garena,"['tolong', 'gif', 'saya', 'dm', 'garena']","['gif', 'dm', 'garena']","['gif', 'dm', 'garena']",gif dm garena
Agus Dharma,5,2025-10-05 05:38:02,bagussseese,bagussseese,bagussseese,['bagussseese'],['bagussseese'],['bagussseese'],bagussseese
Desta Albarka,5,2025-10-05 05:28:17,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Nuy Yaman,5,2025-10-05 05:28:01,game bagus sekali,game bagus sekali,game bagus sekali,"['game', 'bagus', 'sekali']","['game', 'bagus', 'sekali']","['game', 'bagus', 'sekali']",game bagus sekali
Narendra Gibran,5,2025-10-05 05:24:21,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
