userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed,Normalisasi,No_Duplikat,Bersih,Bersih_Token,Unigram,Bigram,Trigram,Bigram_Filtered,Bersih_NoStop
Robby Hermanus19,4,2025-10-05 08:05:53,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Fajri Alida,5,2025-10-05 08:05:15,seru,seru,seru,['seru'],['seru'],['seru'],seru,seru,seru,seru,['seru'],"[('seru',)]",[],[],[],seru
Dimas Dimash,5,2025-10-05 08:05:13,bagus dan unik,bagus dan unik,bagus dan unik,"['bagus', 'dan', 'unik']","['bagus', 'unik']","['bagus', 'unik']",bagus unik,bagus unik,bagus unik,bagus unik,"['bagus', 'unik']","[('bagus',), ('unik',)]","[('bagus', 'unik')]",[],"[('bagus', 'unik')]",bagus unik
Zahwa Khairani,5,2025-10-05 07:56:21,enkk,enkk,enkk,['enkk'],['enkk'],['enkk'],enkk,enak,enak,enak,['enak'],"[('enak',)]",[],[],[],enak
Firman,5,2025-10-05 07:54:45,Ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,ff sangat bgus ini gem kesukaan saya waktu pertama kali main tu bgus banget rasa nya,"['ff', 'sangat', 'bgus', 'ini', 'gem', 'kesukaan', 'saya', 'waktu', 'pertama', 'kali', 'main', 'tu', 'bgus', 'banget', 'rasa', 'nya']","['ff', 'sangat', 'bgus', 'gem', 'kesukaan', 'waktu', 'pertama', 'kali', 'main', 'tu', 'bgus', 'banget', 'rasa', 'nya']","['ff', 'sangat', 'bgus', 'gem', 'suka', 'waktu', 'pertama', 'kali', 'main', 'tu', 'bgus', 'banget', 'rasa', 'nya']",ff sangat bgus gem suka waktu pertama kali main tu bgus banget rasa nya,freefire sangat bagus permainan suka waktu pertama kali main itu bagus sangat rasa nya,freefire sangat bagus permainan suka waktu pertama kali main itu rasa nya,freefire sangat bagus permainan suka waktu pertama kali main itu rasa nya,"['freefire', 'sangat', 'bagus', 'permainan', 'suka', 'waktu', 'pertama', 'kali', 'main', 'itu', 'rasa', 'nya']","[('freefire',), ('sangat',), ('bagus',), ('permainan',), ('suka',), ('waktu',), ('pertama',), ('kali',), ('main',), ('itu',), ('rasa',), ('nya',)]","[('freefire', 'sangat'), ('sangat', 'bagus'), ('bagus', 'permainan'), ('permainan', 'suka'), ('suka', 'waktu'), ('waktu', 'pertama'), ('pertama', 'kali'), ('kali', 'main'), ('main', 'itu'), ('itu', 'rasa'), ('rasa', 'nya')]","[('freefire', 'sangat', 'bagus'), ('sangat', 'bagus', 'permainan'), ('bagus', 'permainan', 'suka'), ('permainan', 'suka', 'waktu'), ('suka', 'waktu', 'pertama'), ('waktu', 'pertama', 'kali'), ('pertama', 'kali', 'main'), ('kali', 'main', 'itu'), ('main', 'itu', 'rasa'), ('itu', 'rasa', 'nya')]","[('freefire', 'sangat'), ('sangat', 'bagus'), ('bagus', 'permainan'), ('permainan', 'suka'), ('suka', 'waktu'), ('waktu', 'pertama'), ('pertama', 'kali'), ('kali', 'main')]",freefire sangat bagus permainan suka waktu pertama kali main rasa
SARLAN BUSE,2,2025-10-05 07:49:28,"jonanya udah ngga ngotak anjir lagi asik""nya war TPI jonanya blum kecil bangat TPI udah sakit mohon kerja samanya Garena jonanya di kurangin dikit sakitnya","jonanya udah ngga ngotak anjir lagi asik""nya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja samanya garena jonanya di kurangin dikit sakitnya",jonanya udah ngga ngotak anjir lagi asiknya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja samanya garena jonanya di kurangin dikit sakitnya,"['jonanya', 'udah', 'ngga', 'ngotak', 'anjir', 'lagi', 'asiknya', 'war', 'tpi', 'jonanya', 'blum', 'kecil', 'bangat', 'tpi', 'udah', 'sakit', 'mohon', 'kerja', 'samanya', 'garena', 'jonanya', 'di', 'kurangin', 'dikit', 'sakitnya']","['jonanya', 'udah', 'ngga', 'ngotak', 'anjir', 'asiknya', 'war', 'tpi', 'jonanya', 'blum', 'kecil', 'bangat', 'tpi', 'udah', 'sakit', 'mohon', 'kerja', 'samanya', 'garena', 'jonanya', 'kurangin', 'dikit', 'sakitnya']","['jonanya', 'udah', 'ngga', 'ngotak', 'anjir', 'asiknya', 'war', 'tpi', 'jonanya', 'blum', 'kecil', 'bangat', 'tpi', 'udah', 'sakit', 'mohon', 'kerja', 'sama', 'garena', 'jonanya', 'rangin', 'dikit', 'sakit']",jonanya udah ngga ngotak anjir asiknya war tpi jonanya blum kecil bangat tpi udah sakit mohon kerja sama garena jonanya rangin dikit sakit,zonanya sudah ngga ngotak anjir asiknya war tapi zonanya blum kecil bangat tapi sudah sakit mohon kerja sama garena zonanya rangin sedikit sakit,zonanya sudah ngga ngotak anjir asiknya war tapi blum kecil bangat sakit mohon kerja sama garena rangin sedikit,zonanya sudah ngga ngotak anjir asiknya war tapi blum kecil bangat sakit mohon kerja sama garena rangin sedikit,"['zonanya', 'sudah', 'ngga', 'ngotak', 'anjir', 'asiknya', 'war', 'tapi', 'blum', 'kecil', 'bangat', 'sakit', 'mohon', 'kerja', 'sama', 'garena', 'rangin', 'sedikit']","[('zonanya',), ('sudah',), ('ngga',), ('ngotak',), ('anjir',), ('asiknya',), ('war',), ('tapi',), ('blum',), ('kecil',), ('bangat',), ('sakit',), ('mohon',), ('kerja',), ('sama',), ('garena',), ('rangin',), ('sedikit',)]","[('zonanya', 'sudah'), ('sudah', 'ngga'), ('ngga', 'ngotak'), ('ngotak', 'anjir'), ('anjir', 'asiknya'), ('asiknya', 'war'), ('war', 'tapi'), ('tapi', 'blum'), ('blum', 'kecil'), ('kecil', 'bangat'), ('bangat', 'sakit'), ('sakit', 'mohon'), ('mohon', 'kerja'), ('kerja', 'sama'), ('sama', 'garena'), ('garena', 'rangin'), ('rangin', 'sedikit')]","[('zonanya', 'sudah', 'ngga'), ('sudah', 'ngga', 'ngotak'), ('ngga', 'ngotak', 'anjir'), ('ngotak', 'anjir', 'asiknya'), ('anjir', 'asiknya', 'war'), ('asiknya', 'war', 'tapi'), ('war', 'tapi', 'blum'), ('tapi', 'blum', 'kecil'), ('blum', 'kecil', 'bangat'), ('kecil', 'bangat', 'sakit'), ('bangat', 'sakit', 'mohon'), ('sakit', 'mohon', 'kerja'), ('mohon', 'kerja', 'sama'), ('kerja', 'sama', 'garena'), ('sama', 'garena', 'rangin'), ('garena', 'rangin', 'sedikit')]","[('zonanya', 'sudah'), ('sudah', 'ngga'), ('ngga', 'ngotak'), ('ngotak', 'anjir'), ('anjir', 'asiknya'), ('asiknya', 'war'), ('war', 'tapi'), ('tapi', 'blum'), ('blum', 'kecil'), ('kecil', 'bangat'), ('bangat', 'sakit'), ('sakit', 'mohon'), ('mohon', 'kerja'), ('kerja', 'sama'), ('sama', 'garena'), ('garena', 'rangin'), ('rangin', 'sedikit')]",zonanya sudah ngga ngotak anjir asiknya war tapi blum kecil bangat sakit mohon kerja sama garena rangin sedikit
Misbah Embuy,1,2025-10-05 07:45:33,Bagus game nya tapi jaringan suka ngeleg padahal WiFi nya gak ngeleg,bagus game nya tapi jaringan suka ngeleg padahal wifi nya gak ngeleg,bagus game nya tapi jaringan suka ngeleg padahal wifi nya gak ngeleg,"['bagus', 'game', 'nya', 'tapi', 'jaringan', 'suka', 'ngeleg', 'padahal', 'wifi', 'nya', 'gak', 'ngeleg']","['bagus', 'game', 'nya', 'jaringan', 'suka', 'ngeleg', 'padahal', 'wifi', 'nya', 'gak', 'ngeleg']","['bagus', 'game', 'nya', 'jaring', 'suka', 'ngeleg', 'padahal', 'wifi', 'nya', 'gak', 'ngeleg']",bagus game nya jaring suka ngeleg padahal wifi nya gak ngeleg,bagus permainan nya jaring suka lambat padahal wifi nya tidak lambat,bagus permainan nya jaring suka lambat padahal wifi tidak,bagus permainan nya jaring suka lambat padahal wifi tidak,"['bagus', 'permainan', 'nya', 'jaring', 'suka', 'lambat', 'padahal', 'wifi', 'tidak']","[('bagus',), ('permainan',), ('nya',), ('jaring',), ('suka',), ('lambat',), ('padahal',), ('wifi',), ('tidak',)]","[('bagus', 'permainan'), ('permainan', 'nya'), ('nya', 'jaring'), ('jaring', 'suka'), ('suka', 'lambat'), ('lambat', 'padahal'), ('padahal', 'wifi'), ('wifi', 'tidak')]","[('bagus', 'permainan', 'nya'), ('permainan', 'nya', 'jaring'), ('nya', 'jaring', 'suka'), ('jaring', 'suka', 'lambat'), ('suka', 'lambat', 'padahal'), ('lambat', 'padahal', 'wifi'), ('padahal', 'wifi', 'tidak')]","[('bagus', 'permainan'), ('jaring', 'suka'), ('suka', 'lambat'), ('lambat', 'padahal'), ('padahal', 'wifi'), ('wifi', 'tidak')]",bagus permainan jaring suka lambat padahal wifi tidak
Ema Lahirna,5,2025-10-05 07:39:52,"tolong Garena,aku minta SG traubelmaker 😁","tolong garena,aku minta sg traubelmaker 😁",tolong garenaaku minta sg traubelmaker,"['tolong', 'garenaaku', 'minta', 'sg', 'traubelmaker']","['garenaaku', 'minta', 'sg', 'traubelmaker']","['garenaaku', 'minta', 'sg', 'traubelmaker']",garenaaku minta sg traubelmaker,garenaaku minta sg traubelmaker,garenaaku minta sg traubelmaker,garenaaku minta traubelmaker,"['garenaaku', 'minta', 'traubelmaker']","[('garenaaku',), ('minta',), ('traubelmaker',)]","[('garenaaku', 'minta'), ('minta', 'traubelmaker')]","[('garenaaku', 'minta', 'traubelmaker')]","[('garenaaku', 'minta'), ('minta', 'traubelmaker')]",garenaaku minta traubelmaker
Gacor Selalu,5,2025-10-05 07:37:16,👍,👍,,[],[],[],,nan,nan,nan,['nan'],"[('nan',)]",[],[],[],nan
M.fauzan.R,5,2025-10-05 07:37:07,keren banget,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']","['keren', 'banget']",keren banget,keren sangat,keren sangat,keren sangat,"['keren', 'sangat']","[('keren',), ('sangat',)]","[('keren', 'sangat')]",[],"[('keren', 'sangat')]",keren sangat
FF. KAsIiHツ,5,2025-10-05 07:32:30,free fire sekarang makin hd🤗,free fire sekarang makin hd🤗,free fire sekarang makin hd,"['free', 'fire', 'sekarang', 'makin', 'hd']","['free', 'fire', 'sekarang', 'makin', 'hd']","['free', 'fire', 'sekarang', 'makin', 'hd']",free fire sekarang makin hd,free fire sekarang semakin hd,free fire sekarang semakin hd,free fire sekarang semakin,"['free', 'fire', 'sekarang', 'semakin']","[('free',), ('fire',), ('sekarang',), ('semakin',)]","[('free', 'fire'), ('fire', 'sekarang'), ('sekarang', 'semakin')]","[('free', 'fire', 'sekarang'), ('fire', 'sekarang', 'semakin')]","[('free', 'fire'), ('fire', 'sekarang'), ('sekarang', 'semakin')]",free fire sekarang semakin
BOCIL PUGB,1,2025-10-05 07:31:27,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,udah berapa lama main game ini makin lama makin burik dan akun saya hilang tidak pakai chit tiba tiba hilang game ini terlalu busuk,"['udah', 'berapa', 'lama', 'main', 'game', 'ini', 'makin', 'lama', 'makin', 'burik', 'dan', 'akun', 'saya', 'hilang', 'tidak', 'pakai', 'chit', 'tiba', 'tiba', 'hilang', 'game', 'ini', 'terlalu', 'busuk']","['udah', 'berapa', 'lama', 'main', 'game', 'makin', 'lama', 'makin', 'burik', 'akun', 'hilang', 'pakai', 'chit', 'tiba', 'tiba', 'hilang', 'game', 'terlalu', 'busuk']","['udah', 'berapa', 'lama', 'main', 'game', 'makin', 'lama', 'makin', 'burik', 'akun', 'hilang', 'pakai', 'chit', 'tiba', 'tiba', 'hilang', 'game', 'terlalu', 'busuk']",udah berapa lama main game makin lama makin burik akun hilang pakai chit tiba tiba hilang game terlalu busuk,sudah berapa lama main permainan semakin lama semakin burik akun hilang pakai chit tiba tiba hilang permainan terlalu busuk,sudah berapa lama main permainan semakin burik akun hilang pakai chit tiba terlalu busuk,sudah berapa lama main permainan semakin burik akun hilang pakai chit tiba terlalu busuk,"['sudah', 'berapa', 'lama', 'main', 'permainan', 'semakin', 'burik', 'akun', 'hilang', 'pakai', 'chit', 'tiba', 'terlalu', 'busuk']","[('sudah',), ('berapa',), ('lama',), ('main',), ('permainan',), ('semakin',), ('burik',), ('akun',), ('hilang',), ('pakai',), ('chit',), ('tiba',), ('terlalu',), ('busuk',)]","[('sudah', 'berapa'), ('berapa', 'lama'), ('lama', 'main'), ('main', 'permainan'), ('permainan', 'semakin'), ('semakin', 'burik'), ('burik', 'akun'), ('akun', 'hilang'), ('hilang', 'pakai'), ('pakai', 'chit'), ('chit', 'tiba'), ('tiba', 'terlalu'), ('terlalu', 'busuk')]","[('sudah', 'berapa', 'lama'), ('berapa', 'lama', 'main'), ('lama', 'main', 'permainan'), ('main', 'permainan', 'semakin'), ('permainan', 'semakin', 'burik'), ('semakin', 'burik', 'akun'), ('burik', 'akun', 'hilang'), ('akun', 'hilang', 'pakai'), ('hilang', 'pakai', 'chit'), ('pakai', 'chit', 'tiba'), ('chit', 'tiba', 'terlalu'), ('tiba', 'terlalu', 'busuk')]","[('sudah', 'berapa'), ('berapa', 'lama'), ('lama', 'main'), ('main', 'permainan'), ('permainan', 'semakin'), ('semakin', 'burik'), ('burik', 'akun'), ('akun', 'hilang'), ('hilang', 'pakai'), ('pakai', 'chit'), ('chit', 'tiba'), ('tiba', 'terlalu'), ('terlalu', 'busuk')]",sudah berapa lama main permainan semakin burik akun hilang pakai chit tiba terlalu busuk
Lu an,5,2025-10-05 07:29:52,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",bagus banget,bagus sangat,bagus sangat,bagus sangat,"['bagus', 'sangat']","[('bagus',), ('sangat',)]","[('bagus', 'sangat')]",[],"[('bagus', 'sangat')]",bagus sangat
Kahpi,1,2025-10-05 07:29:50,kurang terimakasih,kurang terimakasih,kurang terimakasih,"['kurang', 'terimakasih']","['kurang', 'terimakasih']","['kurang', 'terimakasih']",kurang terimakasih,kurang terimakasih,kurang terimakasih,kurang terimakasih,"['kurang', 'terimakasih']","[('kurang',), ('terimakasih',)]","[('kurang', 'terimakasih')]",[],"[('kurang', 'terimakasih')]",kurang terimakasih
Saepul Patia,5,2025-10-05 07:15:43,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
AIRLANGGA RISKI RAMADHAN,5,2025-10-05 07:07:52,anj kau Garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin Evo demeg nya jangan tinggi tholol😠😠😠,anj kau garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin evo demeg nya jangan tinggi tholol😠😠😠,anj kau garena aku udah tembak musuh tapi darah musuh ngurang nya dikit banget anj kalo bikin evo demeg nya jangan tinggi tholol,"['anj', 'kau', 'garena', 'aku', 'udah', 'tembak', 'musuh', 'tapi', 'darah', 'musuh', 'ngurang', 'nya', 'dikit', 'banget', 'anj', 'kalo', 'bikin', 'evo', 'demeg', 'nya', 'jangan', 'tinggi', 'tholol']","['anj', 'kau', 'garena', 'aku', 'udah', 'tembak', 'musuh', 'darah', 'musuh', 'ngurang', 'nya', 'dikit', 'banget', 'anj', 'kalo', 'bikin', 'evo', 'demeg', 'nya', 'jangan', 'tinggi', 'tholol']","['anj', 'kau', 'garena', 'aku', 'udah', 'tembak', 'musuh', 'darah', 'musuh', 'ngurang', 'nya', 'dikit', 'banget', 'anj', 'kalo', 'bikin', 'evo', 'deg', 'nya', 'jangan', 'tinggi', 'tholol']",anj kau garena aku udah tembak musuh darah musuh ngurang nya dikit banget anj kalo bikin evo deg nya jangan tinggi tholol,anjing kau garena saya sudah tembak musuh darah musuh ngurang nya sedikit sangat anjing kalau bikin evo deg nya jangan tinggi tholol,anjing kau garena saya sudah tembak musuh darah ngurang nya sedikit sangat kalau bikin evo deg jangan tinggi tholol,anjing kau garena saya sudah tembak musuh darah ngurang nya sedikit sangat kalau bikin evo deg jangan tinggi tholol,"['anjing', 'kau', 'garena', 'saya', 'sudah', 'tembak', 'musuh', 'darah', 'ngurang', 'nya', 'sedikit', 'sangat', 'kalau', 'bikin', 'evo', 'deg', 'jangan', 'tinggi', 'tholol']","[('anjing',), ('kau',), ('garena',), ('saya',), ('sudah',), ('tembak',), ('musuh',), ('darah',), ('ngurang',), ('nya',), ('sedikit',), ('sangat',), ('kalau',), ('bikin',), ('evo',), ('deg',), ('jangan',), ('tinggi',), ('tholol',)]","[('anjing', 'kau'), ('kau', 'garena'), ('garena', 'saya'), ('saya', 'sudah'), ('sudah', 'tembak'), ('tembak', 'musuh'), ('musuh', 'darah'), ('darah', 'ngurang'), ('ngurang', 'nya'), ('nya', 'sedikit'), ('sedikit', 'sangat'), ('sangat', 'kalau'), ('kalau', 'bikin'), ('bikin', 'evo'), ('evo', 'deg'), ('deg', 'jangan'), ('jangan', 'tinggi'), ('tinggi', 'tholol')]","[('anjing', 'kau', 'garena'), ('kau', 'garena', 'saya'), ('garena', 'saya', 'sudah'), ('saya', 'sudah', 'tembak'), ('sudah', 'tembak', 'musuh'), ('tembak', 'musuh', 'darah'), ('musuh', 'darah', 'ngurang'), ('darah', 'ngurang', 'nya'), ('ngurang', 'nya', 'sedikit'), ('nya', 'sedikit', 'sangat'), ('sedikit', 'sangat', 'kalau'), ('sangat', 'kalau', 'bikin'), ('kalau', 'bikin', 'evo'), ('bikin', 'evo', 'deg'), ('evo', 'deg', 'jangan'), ('deg', 'jangan', 'tinggi'), ('jangan', 'tinggi', 'tholol')]","[('anjing', 'kau'), ('kau', 'garena'), ('garena', 'saya'), ('saya', 'sudah'), ('sudah', 'tembak'), ('tembak', 'musuh'), ('musuh', 'darah'), ('darah', 'ngurang'), ('sedikit', 'sangat'), ('sangat', 'kalau'), ('kalau', 'bikin'), ('bikin', 'evo'), ('evo', 'deg'), ('deg', 'jangan'), ('jangan', 'tinggi'), ('tinggi', 'tholol')]",anjing kau garena saya sudah tembak musuh darah ngurang sedikit sangat kalau bikin evo deg jangan tinggi tholol
Rahmat Hidayatulloh,5,2025-10-05 07:07:14,bagus dan HD,bagus dan hd,bagus dan hd,"['bagus', 'dan', 'hd']","['bagus', 'hd']","['bagus', 'hd']",bagus hd,bagus hd,bagus hd,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Robi Ansyah,5,2025-10-05 07:06:31,ᗩᛕᑌ Sᑌᛕᗩ ᗰᗩIᑎ Ǥᗩᗰᗴ IᑎI,ᗩᛕᑌ sᑌᛕᗩ ᗰᗩiᑎ ǥᗩᗰᗴ iᑎi,s i ii,"['s', 'i', 'ii']","['s', 'i', 'ii']","['s', 'i', 'ii']",s i ii,s i ii,s i ii,,[],[],[],[],[],
Tu perie T perie,1,2025-10-05 07:00:21,apalah bang Budi 01 gaming jadi gak main ff gara gara main blood strike Garena anj***,apalah bang budi 01 gaming jadi gak main ff gara gara main blood strike garena anj***,apalah bang budi gaming jadi gak main ff gara gara main blood strike garena anj,"['apalah', 'bang', 'budi', 'gaming', 'jadi', 'gak', 'main', 'ff', 'gara', 'gara', 'main', 'blood', 'strike', 'garena', 'anj']","['apalah', 'bang', 'budi', 'gaming', 'jadi', 'gak', 'main', 'ff', 'gara', 'gara', 'main', 'blood', 'strike', 'garena', 'anj']","['apa', 'bang', 'budi', 'gaming', 'jadi', 'gak', 'main', 'ff', 'gara', 'gara', 'main', 'blood', 'strike', 'garena', 'anj']",apa bang budi gaming jadi gak main ff gara gara main blood strike garena anj,apa bang budi gaming jadi tidak main freefire gara gara main blood strike garena anjing,apa bang budi gaming jadi tidak main freefire gara blood strike garena anjing,apa bang budi gaming jadi tidak main freefire gara blood strike garena anjing,"['apa', 'bang', 'budi', 'gaming', 'jadi', 'tidak', 'main', 'freefire', 'gara', 'blood', 'strike', 'garena', 'anjing']","[('apa',), ('bang',), ('budi',), ('gaming',), ('jadi',), ('tidak',), ('main',), ('freefire',), ('gara',), ('blood',), ('strike',), ('garena',), ('anjing',)]","[('apa', 'bang'), ('bang', 'budi'), ('budi', 'gaming'), ('gaming', 'jadi'), ('jadi', 'tidak'), ('tidak', 'main'), ('main', 'freefire'), ('freefire', 'gara'), ('gara', 'blood'), ('blood', 'strike'), ('strike', 'garena'), ('garena', 'anjing')]","[('apa', 'bang', 'budi'), ('bang', 'budi', 'gaming'), ('budi', 'gaming', 'jadi'), ('gaming', 'jadi', 'tidak'), ('jadi', 'tidak', 'main'), ('tidak', 'main', 'freefire'), ('main', 'freefire', 'gara'), ('freefire', 'gara', 'blood'), ('gara', 'blood', 'strike'), ('blood', 'strike', 'garena'), ('strike', 'garena', 'anjing')]","[('apa', 'bang'), ('bang', 'budi'), ('budi', 'gaming'), ('gaming', 'jadi'), ('jadi', 'tidak'), ('tidak', 'main'), ('main', 'freefire'), ('freefire', 'gara'), ('gara', 'blood'), ('blood', 'strike'), ('strike', 'garena'), ('garena', 'anjing')]",apa bang budi gaming jadi tidak main freefire gara blood strike garena anjing
klein Moretti,1,2025-10-05 06:58:59,sinyal selalu tidak stabil,sinyal selalu tidak stabil,sinyal selalu tidak stabil,"['sinyal', 'selalu', 'tidak', 'stabil']","['sinyal', 'selalu', 'stabil']","['sinyal', 'selalu', 'stabil']",sinyal selalu stabil,sinyal selalu stabil,sinyal selalu stabil,sinyal selalu stabil,"['sinyal', 'selalu', 'stabil']","[('sinyal',), ('selalu',), ('stabil',)]","[('sinyal', 'selalu'), ('selalu', 'stabil')]","[('sinyal', 'selalu', 'stabil')]","[('sinyal', 'selalu'), ('selalu', 'stabil')]",sinyal selalu stabil
Bayugenteng 002,1,2025-10-05 06:55:50,game bak damagememek,game bak damagememek,game bak damagememek,"['game', 'bak', 'damagememek']","['game', 'bak', 'damagememek']","['game', 'bak', 'damagememek']",game bak damagememek,permainan bak damagememek,permainan bak damagememek,permainan bak damagememek,"['permainan', 'bak', 'damagememek']","[('permainan',), ('bak',), ('damagememek',)]","[('permainan', 'bak'), ('bak', 'damagememek')]","[('permainan', 'bak', 'damagememek')]","[('permainan', 'bak'), ('bak', 'damagememek')]",permainan bak damagememek
