id,content,sentiment
204,min lu kenapa kasih gw musuh grandmaster semua cape min capeee gua ngepush kalah terus frustrasi setres gw padahal gw masih elite heroic whyy min whyyyy kamu kira saya penjoki enggak min kalo masih gini aja gua mau pensi,negatif
205,welcome to free fire,netral
206,game ini sangat tidak ramah karena saya bermain game ini masuk global malah di kick memang bab tolong juga playernya banyak toxic masa gw masuk global dikata in yatim tolong garena,negatif
207,freefire sekarang sering ga bisa masuk ga bisa loading parah ni game,negatif
208,gacor,positif
209,ok,positif
210,seru mainnya,positif
211,aku sangat suka banget sama ff aku minta diamon,positif
212,game buriq,negatif
213,gem to lol gada akhlak pemain nya fun take,negatif
214,dapet temen gak jelas semua,negatif
215,boleh lah pokok nya five star,positif
216,game keren,positif
217,gatena ff,netral
218,bgus di main kn,positif
219,game lawak loading stuck pas abis logo garena fix lah,negatif
220,karena apa gw push terus tmn tim ku sllu dark sistem coba deh kasih aku tmn yg top indonesia,negatif
221,game burik,negatif
222,mohon maf map nya aga di ganti lah q,netral
223,game seru event nya juga bagus bagus jaringan nya g kurangsama kawan tim pas main agam dikasih yg jago gitu musuh nya terus bot,positif
224,main cs renked tim nya banyak yang beban,negatif
225,gemnya banyak citer,negatif
226,seruuuuuu,positif
227,game apa ini banyak yang pake cheat,negatif
228,saya kasih bintang karena game nya sangat seru,positif
229,game aneh,negatif
230,game terbaik di dunia,positif
231,jangan lagi di ben akun ku aku gak pake cit min,negatif
232,tidak ada ulasan,netral
233,game nya keren sih tapi ngelag,positif
234,kenapa mau login kok eror aplikasi ini sudah gak becus,negatif
235,lama kali min donwlodnya,negatif
236,sangat bagus dan sudah menemani masa remaja ku,positif
237,game nya gak seseru dulu pensi aja lah,negatif
238,game sangat buruk skils carakter anehbanyak cheater gldan grafik game yang bikij sakit mata,negatif
239,bagus,positif
240,game jelek masa grafik aku turun dari ultra sampe ke smooth,negatif
241,gem jelek sekin jelek semua mantesan poroplayer ff pindah ke blosterek ternyata gem ff jelek anjir,negatif
242,pokoknya game ini seruuuuuu,positif
243,fire fire sangat bagus dan juga bisa bermain bersama instal sekarang di flas tor ayo cepetan,positif
244,jaringan selalu bermasalah,negatif
245,suka ngeleg,negatif
246,seruu,positif
247,jgn sering update memo ku tidaa cukufff,negatif
248,game nya burik dan game bit buruk banget,negatif
249,suka gamenya sama eventeventnya makasih garena sama timtimnya event dan gamenya seru,positif
250,game tolol maen game menang cuma sekali,negatif
