userName,score,at,content,content_casefold
Robi Ansyah,5,2025-10-05 07:06:31,ᗩᛕᑌ Sᑌᛕᗩ ᗰᗩIᑎ Ǥᗩᗰᗴ IᑎI,ᗩᛕᑌ sᑌᛕᗩ ᗰᗩiᑎ ǥᗩᗰᗴ iᑎi
Tu perie T perie,1,2025-10-05 07:00:21,apalah bang Budi 01 gaming jadi gak main ff gara gara main blood strike Garena anj***,apalah bang budi 01 gaming jadi gak main ff gara gara main blood strike garena anj***
klein Moretti,1,2025-10-05 06:58:59,sinyal selalu tidak stabil,sinyal selalu tidak stabil
Bayugenteng 002,1,2025-10-05 06:55:50,game bak damagememek,game bak damagememek
Pur Nomo,5,2025-10-05 06:50:23,saya rasa sih game ini cukup bagus dan tidak ngelag sinyal pun bagus update x ini free fire juga sangat seru tapi di cs agak ngelag kalau pakai senjata SG ngmong ngmong kenapa ya Garena?,saya rasa sih game ini cukup bagus dan tidak ngelag sinyal pun bagus update x ini free fire juga sangat seru tapi di cs agak ngelag kalau pakai senjata sg ngmong ngmong kenapa ya garena?
Andi Nur,3,2025-10-05 06:47:06,bagus banget menyenang kan pkok nya no komen,bagus banget menyenang kan pkok nya no komen
Jhefri Hairul,5,2025-10-05 06:46:25,game ini seru,game ini seru
Dimas guntur Atmojo,2,2025-10-05 06:43:34,kok ada citer di cs gua jadi males pus cs tolong yang citer ya dibeent kalik,kok ada citer di cs gua jadi males pus cs tolong yang citer ya dibeent kalik
Fauzi Fauzi,5,2025-10-05 06:42:38,ok,ok
Muhammad Haitsam Nabhan,5,2025-10-05 06:39:50,saya senang bermain game free fire,saya senang bermain game free fire
Putra harahap,5,2025-10-05 06:39:08,gacor,gacor
Stiven alfredo Ginting,5,2025-10-05 06:34:45,iw,iw
Kellen Alvaro,5,2025-10-05 06:34:21,mantap,mantap
Ayu Pbg,5,2025-10-05 06:32:26,sangat surrr,sangat surrr
Raihan Raihan,3,2025-10-05 06:29:45,gw ngeleh jaringannya bego bukan sengaja kalah,gw ngeleh jaringannya bego bukan sengaja kalah
Muhammad Naufal,5,2025-10-05 06:27:12,karena aku cinta ff,karena aku cinta ff
Dahab Bidin,5,2025-10-05 06:24:51,gem ya bagus dan bisa Mabar sama temen,gem ya bagus dan bisa mabar sama temen
Yasin Yasin,1,2025-10-05 06:22:52,ini bagus tapi panutan kami gk di bolehin main sama garena kita nilai 1,ini bagus tapi panutan kami gk di bolehin main sama garena kita nilai 1
Kuthax bellen,5,2025-10-05 06:21:43,saya senang menjadi player ff semoga nanti kita bertemu lagi di masa dewasa,saya senang menjadi player ff semoga nanti kita bertemu lagi di masa dewasa
M. Abdillah Aufa,5,2025-10-05 06:20:13,seru,seru
"RISKI ESECOBAR,",5,2025-10-05 06:17:23,keren banget game nya tapi kalo bisa tambahin pintu wkwkw 🤭,keren banget game nya tapi kalo bisa tambahin pintu wkwkw 🤭
Yura Yura,5,2025-10-05 06:15:03,rorw,rorw
Mustamik Yusuf,1,2025-10-05 06:10:24,bg Budi salah apaan dh🗿,bg budi salah apaan dh🗿
Yasin Yeo,5,2025-10-05 06:10:19,bagus,bagus
Rasyid Siddiq S,1,2025-10-05 06:08:41,"banyak bug seperti transaksi yang tidak di inginkan, padahal sudah melaporkan ke customer service masih tidak ada tindakan dan uang saya hilang gitu aja","banyak bug seperti transaksi yang tidak di inginkan, padahal sudah melaporkan ke customer service masih tidak ada tindakan dan uang saya hilang gitu aja"
Whindy Ginaya,5,2025-10-05 06:04:20,"game nya seru banget,bikin gk bosen deh","game nya seru banget,bikin gk bosen deh"
Arju Dibu bayhaqi,3,2025-10-05 06:03:29,"Min tolong untuk yang main di pc,matcmakingnya diperbaiki,soalnya lama banget","min tolong untuk yang main di pc,matcmakingnya diperbaiki,soalnya lama banget"
Bilqis Saribanon,1,2025-10-05 06:02:06,GAME GK GOTAK DIKASIH LOSE STRIKE TERUS BAB1 GARENTOLLLLLLLL CAPEK GW DIKASIH DARK SISTEM BAB1,game gk gotak dikasih lose strike terus bab1 garentollllllll capek gw dikasih dark sistem bab1
Gjlnvgnn Vmmk hy .u,1,2025-10-05 06:00:43,Game yg sangat jelek musuhnya sangat sulit,game yg sangat jelek musuhnya sangat sulit
SOTHEP PS,5,2025-10-05 05:57:53,👍👍👍👍👍👍👍👍👍👍👍💀👍👍bagus,👍👍👍👍👍👍👍👍👍👍👍💀👍👍bagus
Rudi W,3,2025-10-05 05:52:38,we kenapa TDK bisa masuk cuma tertulis starting,we kenapa tdk bisa masuk cuma tertulis starting
Salman Alfarisy,5,2025-10-05 05:50:37,mintak skin,mintak skin
Aufa Fiddin,5,2025-10-05 05:48:37,jossss,jossss
Akun Baru 2025,5,2025-10-05 05:44:57,"game kikir,nyepin gak dapet dapet,panutan gua BG BUDI 01 GAMING gak bisa main karena terima endorse dari game sebelah,emangnya kenapa orang juga butuh duit kali,kerja sama aja gak ada sama game burik satu ini malah orang terima endorse gak terima,burik burik","game kikir,nyepin gak dapet dapet,panutan gua bg budi 01 gaming gak bisa main karena terima endorse dari game sebelah,emangnya kenapa orang juga butuh duit kali,kerja sama aja gak ada sama game burik satu ini malah orang terima endorse gak terima,burik burik"
Kartika Pati,5,2025-10-05 05:44:22,seru Ama pacarr,seru ama pacarr
King Zoya,5,2025-10-05 05:42:57,kaloramafhan kasih event sg gratisan dongg,kaloramafhan kasih event sg gratisan dongg
Ilham Slwly,5,2025-10-05 05:42:24,keren,keren
Wa Wong,1,2025-10-05 05:41:17,ff udah enggak kaya dulu lagi,ff udah enggak kaya dulu lagi
Abdul Riziq,5,2025-10-05 05:39:26,seru banget,seru banget
Made Angga,5,2025-10-05 05:38:04,tolong gif saya dm garena,tolong gif saya dm garena
Agus Dharma,5,2025-10-05 05:38:02,bagussseese,bagussseese
Desta Albarka,5,2025-10-05 05:28:17,bagus,bagus
Nuy Yaman,5,2025-10-05 05:28:01,game bagus sekali,game bagus sekali
Narendra Gibran,5,2025-10-05 05:24:21,bagus,bagus
Seyla Aulia,5,2025-10-05 05:24:03,"bagus banget, apa lagi main nya pake apking bang Andra St beuhhh bagus deh hs terus","bagus banget, apa lagi main nya pake apking bang andra st beuhhh bagus deh hs terus"
Deli Dwi cazinatul,1,2025-10-05 05:20:20,katanya game bagus kok waktu download kayak main di jaman Majapahit burik banget percuma max tapi burik 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,katanya game bagus kok waktu download kayak main di jaman majapahit burik banget percuma max tapi burik 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
Adityaa Rahman02,1,2025-10-05 05:19:56,mana keadilan tingkat kan dong keadilan dalam permainan jika pemain tim keluar maka permainan di katakan tidak sah karena tidak adil mana gak ada fitur penting ini setiap bermain pasti ada yang keluar pasti tapi mana keadilan ayo lah mana keadilan dalam permainan ini,mana keadilan tingkat kan dong keadilan dalam permainan jika pemain tim keluar maka permainan di katakan tidak sah karena tidak adil mana gak ada fitur penting ini setiap bermain pasti ada yang keluar pasti tapi mana keadilan ayo lah mana keadilan dalam permainan ini
Sindi Agustiana,5,2025-10-05 05:18:12,sangat bagus,sangat bagus
Raaa Wrrr,5,2025-10-05 05:16:42,game bagus,game bagus
Iswah Yuti,5,2025-10-05 05:15:35,mantap,mantap
Dicky Azis Saputra,5,2025-10-05 05:15:19,seruu,seruu
Alfa Noor,5,2025-10-05 05:15:00,senjata dll nya bagus cuma akun ku kena blokir jadi pengawasan ff kurang baik jadi akun ku yang malah kena blokir karena si ornag ini nama akun nya kbof9999 dan nam aku. ku yang asli gak tahu pokok nya tolong dicari yah,senjata dll nya bagus cuma akun ku kena blokir jadi pengawasan ff kurang baik jadi akun ku yang malah kena blokir karena si ornag ini nama akun nya kbof9999 dan nam aku. ku yang asli gak tahu pokok nya tolong dicari yah
firzha putra,1,2025-10-05 05:14:01,kaga asik bet garena skrg,kaga asik bet garena skrg
Dianrasit Selametica,5,2025-10-05 05:13:36,mantap,mantap
Rizka Ramadani,5,2025-10-05 05:13:11,seruuu,seruuu
Yuda Juliansyah,1,2025-10-05 05:10:34,apa sih anjjjjj timout Mulu ngetooodddd muak gua bgsttt game makin ke kontoI jaringan sama sinyal bagus,apa sih anjjjjj timout mulu ngetooodddd muak gua bgsttt game makin ke kontoi jaringan sama sinyal bagus
Dwi Anandin,5,2025-10-05 05:09:41,seru main nyahh,seru main nyahh
Ibnu Ibnu,1,2025-10-05 05:09:12,klo lagi main jaringannya selalu ngelek pas ada musuh tapi klo lagi loting jaringannya bagus hedehhh ini game yg brmasalah apa jaringan,klo lagi main jaringannya selalu ngelek pas ada musuh tapi klo lagi loting jaringannya bagus hedehhh ini game yg brmasalah apa jaringan
Cipto Prasetiawan,5,2025-10-05 05:08:48,senang,senang
Nnzjgj Rawr,1,2025-10-05 05:07:34,"MAAF SEBELUM NYA SAYA SUDAH MEMBERIKAN RATTING 1, DIKARENAKAN DARI PIHAK GARENA, TIDAK KONSISTEN KEPADA YOUTUBER FREFIRE, YANG DI BLACKLIS OLEH GARENA SEHINGGA YOTUBER TERSEBUT TIDAK BISA BERMAIN, DISINI SAYA TIDAK MENYEBUT KAN SIAPA YOUTUBER TERSEBUT. MOHON BUAT GARENA AGAR DI TINDAK LANJUTI, TERMIKASIH...","maaf sebelum nya saya sudah memberikan ratting 1, dikarenakan dari pihak garena, tidak konsisten kepada youtuber frefire, yang di blacklis oleh garena sehingga yotuber tersebut tidak bisa bermain, disini saya tidak menyebut kan siapa youtuber tersebut. mohon buat garena agar di tindak lanjuti, termikasih..."
Achmad Takdir,5,2025-10-05 05:07:28,suka,suka
Rian,5,2025-10-05 05:04:18,apik,apik
Muhammad Rayi Ibrahim,1,2025-10-05 05:03:52,game burik banyak bug buset benerin tuh masa di kasi 999 jaringan dasar garena hama,game burik banyak bug buset benerin tuh masa di kasi 999 jaringan dasar garena hama
muhamad arif,5,2025-10-05 05:03:38,seru,seru
Virlexx Arlexx,1,2025-10-05 05:02:39,gak niat,gak niat
Ero,5,2025-10-05 04:57:43,"masa pas lagi main rank padahal tinggal 5 lagi naik master malah ""akun anda ada diperangkat lain"" mana turun 50 lagi serius lah buat game buat sakit hati aja game ni","masa pas lagi main rank padahal tinggal 5 lagi naik master malah ""akun anda ada diperangkat lain"" mana turun 50 lagi serius lah buat game buat sakit hati aja game ni"
Aditya Prayoga,5,2025-10-05 04:57:42,bagus,bagus
Putra Kusuma,1,2025-10-05 04:53:37,saya kecewa kepada pihak Garena karena bg Budi GK di bolehin main ff LG,saya kecewa kepada pihak garena karena bg budi gk di bolehin main ff lg
marc mharjoune,1,2025-10-05 04:52:25,"Burik bang graphic nya,gerakan nya juga kaku,gak sometris gak lentur seperti pubg","burik bang graphic nya,gerakan nya juga kaku,gak sometris gak lentur seperti pubg"
Lepe Sepe,5,2025-10-05 04:50:40,geme bagus,geme bagus
bm kens,5,2025-10-05 04:50:01,gamenyaa baguss bgt,gamenyaa baguss bgt
Dino Dini,1,2025-10-05 04:47:25,jelek bet eventnya dan kenapa bang Budi di BL,jelek bet eventnya dan kenapa bang budi di bl
Leon 1313,5,2025-10-05 04:43:18,i like ff,i like ff
Adrian Adrian,1,2025-10-05 04:35:35,plis SG peluru 1 di nerf lah soalnya ledakannya,plis sg peluru 1 di nerf lah soalnya ledakannya
Adiba Adibi,5,2025-10-05 04:35:16,Gem kesayangan,gem kesayangan
Ari Saja,1,2025-10-05 04:34:34,gem yh bagus mantap uptimal kn yh bng,gem yh bagus mantap uptimal kn yh bng
Khaidir Eko,5,2025-10-05 04:32:12,mantap,mantap
Fitnawati,5,2025-10-05 04:26:59,mantap👍,mantap👍
Kar Kartini,1,2025-10-05 04:23:44,game jemboot,game jemboot
Sriyati,5,2025-10-05 04:23:25,bagus game nya,bagus game nya
Intan Anggraini,5,2025-10-05 04:21:17,seru bangett,seru bangett
Al Fajar,5,2025-10-05 04:20:41,👍👍👍👍👍👍👍👍👍👍👍,👍👍👍👍👍👍👍👍👍👍👍
fabian aimGOOD,1,2025-10-05 04:17:44,bang budi ga bisa main nih. biar di bales gw kasih bintang 1😹🤭,bang budi ga bisa main nih. biar di bales gw kasih bintang 1😹🤭
Cece Kurniawan,5,2025-10-05 04:15:26,geme ini mengajarkan bagaimana perang ⭐⭐⭐⭐⭐,geme ini mengajarkan bagaimana perang ⭐⭐⭐⭐⭐
Esihh,5,2025-10-05 04:08:18,sangat seru,sangat seru
Maulana Rizal,1,2025-10-05 04:07:35,kebanyakan bug an*,kebanyakan bug an*
Stoksurya,5,2025-10-05 04:06:18,emang game ini selalu di hati,emang game ini selalu di hati
Hp ku kenak Reset,1,2025-10-05 04:06:08,BG BUDI PENSI KARENA GARENA AJI INI,bg budi pensi karena garena aji ini
JOMBLO HEPPY,5,2025-10-05 04:04:16,gudz,gudz
Tio Tio,1,2025-10-05 04:04:15,Garena lu kasih musuh ga kira kira jagoan giliran tim aja beban eh lu kalau mau jadi garena yang bener lu juga ga kasih gu kesempatan hoki ga di kasih mau Rengk Master ga boleh mau lu apasih ini bukan hinaan tapi peringatan banyk orang orang jadi miskin karena Sepin tiap hari. abis Top-up pas nyepin ga hoki makanya gua pensi. ini bukan hina ya garena yaa tapi ini peringatan.,garena lu kasih musuh ga kira kira jagoan giliran tim aja beban eh lu kalau mau jadi garena yang bener lu juga ga kasih gu kesempatan hoki ga di kasih mau rengk master ga boleh mau lu apasih ini bukan hinaan tapi peringatan banyk orang orang jadi miskin karena sepin tiap hari. abis top-up pas nyepin ga hoki makanya gua pensi. ini bukan hina ya garena yaa tapi ini peringatan.
Melati Redmi,5,2025-10-05 04:03:15,ini sngat seru!!,ini sngat seru!!
Horas Horas siregar,3,2025-10-05 03:59:36,"perbaiki lagi dong game nya jaringan nya 999+ Mulu anj padahal wifi gw aman ke tiktok,yt masih bisa Napa di ff merah perbaiki lagi dong","perbaiki lagi dong game nya jaringan nya 999+ mulu anj padahal wifi gw aman ke tiktok,yt masih bisa napa di ff merah perbaiki lagi dong"
Ok Oki,1,2025-10-05 03:56:05,game kikir,game kikir
Ra Fa,1,2025-10-05 03:56:03,ff ini sangat asu ff koyok asu,ff ini sangat asu ff koyok asu
Wisnu S,1,2025-10-05 03:54:25,gak bisa beli pakai pulsa 🌟 1,gak bisa beli pakai pulsa 🌟 1
Revan Adi,5,2025-10-05 03:45:31,sangat bagus,sangat bagus
Ibra.muhammad Ibramuhammad,5,2025-10-05 03:43:05,mantap,mantap
Reski Aditya,5,2025-10-05 03:41:06,akhirnya comeback lagi sekian lama,akhirnya comeback lagi sekian lama
Paulinus Weky01,5,2025-10-05 03:40:55,player old peak com GARENA yang terbaik sepanjang hidupku,player old peak com garena yang terbaik sepanjang hidupku
gibranfico fico,5,2025-10-05 03:40:27,kerennn sakaliiiii,kerennn sakaliiiii
Fitrianur Syaumi,4,2025-10-05 03:37:35,gatau kalo Bosen main roblox pindah ke epep tapi epep seru,gatau kalo bosen main roblox pindah ke epep tapi epep seru
Nissa Miftahul zanah,5,2025-10-05 03:34:03,bagus,bagus
Noval,5,2025-10-05 03:32:39,mantap sekali,mantap sekali
Daffa Nissa,5,2025-10-05 03:31:13,bagus,bagus
Fa Rel_gg,3,2025-10-05 03:29:59,Garena tolong peak yang dulu di kembalikan please temen ku pada marah 🙏😭,garena tolong peak yang dulu di kembalikan please temen ku pada marah 🙏😭
Ahmad Azzam,1,2025-10-05 03:28:43,game burik,game burik
hafidz 02 gaming,1,2025-10-05 03:28:38,knp sekarang gk bisa login pake data kartu Telkomsel,knp sekarang gk bisa login pake data kartu telkomsel
Putra Ikhtiar,1,2025-10-05 03:28:33,makin sepi ini game kek mana?,makin sepi ini game kek mana?
M Althaf A.F,1,2025-10-05 03:27:42,woyyyyy garenaaa yang bener aja lah ajg masa iya gua udh download daleman nya malah kehapus dengan sendirinya dan itu memakan banyak memori terus memori HP saya tetep sama segitu gaada yang kehapus jadi saya download daleman di in game double tolonglah perbaikin saya ga terlalu masalah dengan memori tapi bagi orang yang memori nya pas pas sangat berpengaruh dan ga nyaman ajggg,woyyyyy garenaaa yang bener aja lah ajg masa iya gua udh download daleman nya malah kehapus dengan sendirinya dan itu memakan banyak memori terus memori hp saya tetep sama segitu gaada yang kehapus jadi saya download daleman di in game double tolonglah perbaikin saya ga terlalu masalah dengan memori tapi bagi orang yang memori nya pas pas sangat berpengaruh dan ga nyaman ajggg
puji rina,5,2025-10-05 03:26:09,sangat bagus GK mudah macett,sangat bagus gk mudah macett
Dompu Nur,1,2025-10-05 03:24:08,bagus bisa buat banta bantai,bagus bisa buat banta bantai
Aditya Andrianto,1,2025-10-05 03:20:38,klo ngasih tim itu ngotak dikit klo main tim selalu dikasih bot klo lawan pro lu tu punya otak kagak tolol semua orang juga punya batas kesabaran klo lu kasih tim yang bot bisa bisa banyak yg emosi/gila,klo ngasih tim itu ngotak dikit klo main tim selalu dikasih bot klo lawan pro lu tu punya otak kagak tolol semua orang juga punya batas kesabaran klo lu kasih tim yang bot bisa bisa banyak yg emosi/gila
Lailatul Khairi,5,2025-10-05 03:16:01,game ini sangat seru kadang kalo udah master musuhnya bot walaupun kadang pro dan aku sangat senang karena bisa ngilangin gabut juga tetapi yolong diperbaiki lagi ya garena,game ini sangat seru kadang kalo udah master musuhnya bot walaupun kadang pro dan aku sangat senang karena bisa ngilangin gabut juga tetapi yolong diperbaiki lagi ya garena
dapaaja ggwp,1,2025-10-05 03:15:58,epep tolollll orang lagi push malah di kasih temen dark sistem semua bego,epep tolollll orang lagi push malah di kasih temen dark sistem semua bego
Gibran Artanabil,5,2025-10-05 03:15:49,sangat seru,sangat seru
Siti Mu'awati,5,2025-10-05 03:15:08,Aku dulu main jaringan lancar tapi sekarang jaringan tambah ngelag padahal jaringan lancar lo plis garena kau pelit kali aku aja jari cewe gk di kasi siapani yang mau peak old kembali ruma sultan juga bimasakti fakctori dan lain lainnya 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😌😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 bole minta dm gk akun ku RC.NDRAZZ YANG MAU MABAR,aku dulu main jaringan lancar tapi sekarang jaringan tambah ngelag padahal jaringan lancar lo plis garena kau pelit kali aku aja jari cewe gk di kasi siapani yang mau peak old kembali ruma sultan juga bimasakti fakctori dan lain lainnya 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😌😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 bole minta dm gk akun ku rc.ndrazz yang mau mabar
Okiwan Asmara,5,2025-10-05 03:13:54,bagus banget,bagus banget
Afi F,1,2025-10-05 03:12:32,Garena lol,garena lol
Zamir Zamir,5,2025-10-05 03:06:14,Haviz Reyvansyah seru dan enak untuk dimainkan menjadi motivasi perang dan membuat strategi untuk mengalahkan musuhnya sekian terimakasih.,haviz reyvansyah seru dan enak untuk dimainkan menjadi motivasi perang dan membuat strategi untuk mengalahkan musuhnya sekian terimakasih.
Surianti Naufal423,5,2025-10-05 03:02:43,meledakkkkkkkk,meledakkkkkkkk
Rizal Husni,5,2025-10-05 02:59:48,mantap,mantap
Pak Sugi,3,2025-10-05 02:58:25,lumayan game nya,lumayan game nya
riski Sanjayajaya,5,2025-10-05 02:58:04,"Garena Indonesia menangkan lahh kalo aku main cs,kasih lah musuh yang bot","garena indonesia menangkan lahh kalo aku main cs,kasih lah musuh yang bot"
Kadek Agus darma,5,2025-10-05 02:57:04,permainan nya seru,permainan nya seru
satria gustidarma,1,2025-10-05 02:52:35,banyak chetaer grafik burik,banyak chetaer grafik burik
Marlin Kante,5,2025-10-05 02:51:54,Keren banget,keren banget
Alka Ngronggot,1,2025-10-05 02:48:52,kenapa bang budi di blacklist,kenapa bang budi di blacklist
Pa Yayang,4,2025-10-05 02:48:27,keren banget ❤❤❤❤❤,keren banget ❤❤❤❤❤
Julista Lisade,5,2025-10-05 02:45:21,gem ini sangat bagus dan menghibur,gem ini sangat bagus dan menghibur
Siti Rochmah Hasani,5,2025-10-05 02:44:35,terpaksa agar bisa dilihat jembot sinyale elek di tokke ha ditokke malah honor sekor medun asu kirek ff elek,terpaksa agar bisa dilihat jembot sinyale elek di tokke ha ditokke malah honor sekor medun asu kirek ff elek
Muhammad Abdul Muiz,3,2025-10-05 02:41:06,garena gua udah cape kntl lu ga adil giliran gua maen di kasih tim cupu bocil sedang kan tim lawan pada jago udah lah gua cape,garena gua udah cape kntl lu ga adil giliran gua maen di kasih tim cupu bocil sedang kan tim lawan pada jago udah lah gua cape
nizam 789,4,2025-10-05 02:36:01,aku kasih bintang 4 karena banyak bug lalu jariganya mesti ngelag padahal udah stabil tolong juga dm bisa gratis kek buang buang uang untuk game gak guna mending beli yang lain,aku kasih bintang 4 karena banyak bug lalu jariganya mesti ngelag padahal udah stabil tolong juga dm bisa gratis kek buang buang uang untuk game gak guna mending beli yang lain
Galihh Stev_,4,2025-10-05 02:32:16,"seru banget ff itu game nya seruuuuuuuuuu bangett 👍🏻👍🏻👍🏻👍🏻👍🏻🩵🩵🩵 salam player old, aku main dari tahun 2019 sampai sekarang wahh gg banget lah pokoknya ff ini 😁😁","seru banget ff itu game nya seruuuuuuuuuu bangett 👍🏻👍🏻👍🏻👍🏻👍🏻🩵🩵🩵 salam player old, aku main dari tahun 2019 sampai sekarang wahh gg banget lah pokoknya ff ini 😁😁"
Raziq Raziq,5,2025-10-05 02:32:01,"bagus, tapi kurang setiap haji jumat bagi bagi diamin kek min biar berkah dan makin ramai gamenya satu orang 100 diamin kek min","bagus, tapi kurang setiap haji jumat bagi bagi diamin kek min biar berkah dan makin ramai gamenya satu orang 100 diamin kek min"
Fitri Sahiu,5,2025-10-05 02:31:30,Bagus sekali,bagus sekali
Sri Putih,4,2025-10-05 02:27:39,permainan ini memang bagus tapi kalau kita tidak main lagi haru kita donlot ulang lagi itu yang bikin saya malas saya suda babarapa kali saya donlot,permainan ini memang bagus tapi kalau kita tidak main lagi haru kita donlot ulang lagi itu yang bikin saya malas saya suda babarapa kali saya donlot
Ngawor 18,1,2025-10-05 02:21:23,burik kikir garena,burik kikir garena
M raihan Alfarizki,5,2025-10-05 02:19:56,Saya kembali garena,saya kembali garena
Muhammad Al fatih,5,2025-10-05 02:16:16,gem yg ku enk,gem yg ku enk
Gian Aditia,5,2025-10-05 02:15:56,game ini sangat bagus dan keren,game ini sangat bagus dan keren
Ade Ade,1,2025-10-05 02:14:05,"Garena ol , tak peteni ngesok","garena ol , tak peteni ngesok"
Rian Kota,5,2025-10-05 02:13:39,seru banget!!!,seru banget!!!
Mimin Mintarsih,1,2025-10-05 02:13:04,garena banyak citer di cs rank gimana saya main berapa kali Mian kalah Mulu 🤕🤕🤕,garena banyak citer di cs rank gimana saya main berapa kali mian kalah mulu 🤕🤕🤕
DONI ALWI,5,2025-10-05 02:10:13,keren,keren
Ahmad David,1,2025-10-05 02:09:21,game nya tol,game nya tol
Narkoboy Beb,1,2025-10-05 02:08:48,sekarang ff aneh + bikin kesel apa gimana y dan kenapa player ff khusus nya pada rank diamond ke bawah tuh gblk ² apa gimna y apa baru maen gitu plis ini harus di benerin fiks,sekarang ff aneh + bikin kesel apa gimana y dan kenapa player ff khusus nya pada rank diamond ke bawah tuh gblk ² apa gimna y apa baru maen gitu plis ini harus di benerin fiks
Riki Riki,5,2025-10-05 02:08:23,mantap sih soalnya bisa buat JJ,mantap sih soalnya bisa buat jj
Meifatul Putra,1,2025-10-05 02:08:12,buka BL budi anji,buka bl budi anji
Ahmad Hanan fais,5,2025-10-05 02:02:55,bagus,bagus
